identifier,name,type,damage_class,power,accuracy,pp,priority,target_identifier,flavor_text
sunny-day,Sunny Day,fire,status,,,5,0,both-sides,"The user intensifies the sun for five turns, powering up [[types:Fire]]-type moves. It lowers the power of [[types:Water]]-type moves."
crunch,Crunch,dark,physical,80,100,15,0,chosen,The user crunches up the target with sharp fangs. This may also lower the target’s Defense stat.
mirror-coat,Mirror Coat,psychic,special,,100,20,-5,unique,"A retaliation move that counters any special attack, inflicting double the damage taken."
psych-up,Psych Up,normal,status,,,10,0,chosen,The user hypnotizes itself into copying any stat change made by the target.
extreme-speed,Extreme Speed,normal,physical,80,100,5,2,chosen,The user charges the target at blinding speed. This move always goes first.
ancient-power,Ancient Power,rock,special,60,100,5,0,chosen,The user attacks with a prehistoric power. This may also raise all the user’s stats at once.
shadow-ball,Shadow Ball,ghost,special,80,100,15,0,chosen,The user hurls a shadowy blob at the target. This may also lower the target’s Sp. Def stat.
future-sight,Future Sight,psychic,special,120,100,10,0,chosen,"Two turns after this move is used, a hunk of psychic energy attacks the target."
rock-smash,Rock Smash,fighting,physical,40,100,15,0,chosen,The user attacks with a punch. This may also lower the target’s Defense stat.
whirlpool,Whirlpool,water,special,35,85,15,0,chosen,The user traps the target in a violent swirling whirlpool for four to five turns.
beat-up,Beat Up,dark,physical,,100,10,0,chosen,"The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks."
fake-out,Fake Out,normal,physical,40,100,10,3,chosen,This attack hits first and makes the target flinch. It only works the first turn each time the user enters battle.
uproar,Uproar,normal,special,90,100,10,0,random-opponent,"The user attacks in an uproar for three turns. During that time, no Pokémon can fall asleep."
stockpile,Stockpile,normal,status,,,20,0,self,The user charges up power and raises both its Defense and Sp. Def stats. The move can be used three times.
spit-up,Spit Up,normal,special,,100,10,0,chosen,"The power stored using the move [[moves:Stockpile]] is released at once in an attack. The more power is stored, the greater the move’s power."
swallow,Swallow,normal,status,,,10,0,self,The power stored using the move [[moves:Stockpile]] is absorbed by the user to heal its HP. Storing more power heals more HP.
heat-wave,Heat Wave,fire,special,95,90,10,0,all-opponents,The user attacks by exhaling hot breath on opposing Pokémon. This may also leave those Pokémon with a burn.
hail,Hail,ice,status,,,10,0,both-sides,The user summons a hailstorm lasting five turns. It damages all Pokémon except [[types:Ice]] types.
torment,Torment,dark,status,,100,15,0,chosen,"The user torments and enrages the target, making it incapable of using the same move twice in a row."
flatter,Flatter,dark,status,,100,15,0,chosen,"Flattery is used to confuse the target. However, this also raises the target’s Sp. Atk stat."
will-o-wisp,Will-O-Wisp,fire,status,,85,15,0,chosen,The user shoots a sinister flame at the target to inflict a burn.
memento,Memento,dark,status,,100,10,0,chosen,"The user faints when using this move. In return, this harshly lowers the target’s Attack and Sp. Atk stats."
facade,Facade,normal,physical,70,100,20,0,chosen,"This attack move doubles its power if the user is poisoned, burned, or paralyzed."
focus-punch,Focus Punch,fighting,physical,150,100,20,-3,chosen,The user focuses its mind before launching a punch. This move fails if the user is hit before it is used.
smelling-salts,Smelling Salts,normal,physical,70,100,10,0,chosen,"This attack’s power is doubled when used on a target with paralysis. This also cures the target’s paralysis, however."
follow-me,Follow Me,normal,status,,,20,2,self,"The user draws attention to itself, making all targets take aim only at the user."
nature-power,Nature Power,normal,status,,,20,0,chosen,This attack makes use of nature’s power. Its effects vary depending on the user’s environment.
charge,Charge,electric,status,,,20,0,self,The user boosts the power of the [[types:Electric]] move it uses on the next turn. This also raises the user’s Sp. Def stat.
taunt,Taunt,dark,status,,100,20,0,chosen,The target is taunted into a rage that allows it to use only attack moves for three turns.
helping-hand,Helping Hand,normal,status,,,20,5,chosen-ally,The user assists an ally by boosting the power of that ally’s attack.
trick,Trick,psychic,status,,100,10,0,chosen,The user catches the target off guard and swaps its held item with its own.
role-play,Role Play,psychic,status,,,10,0,chosen,"The user mimics the target completely, copying the target’s Ability."
wish,Wish,normal,status,,,10,0,self,"One turn after this move is used, the user’s or its replacement’s HP is restored by half the user’s max HP."
assist,Assist,normal,status,,,20,0,self,The user hurriedly and randomly uses a move among those known by ally Pokémon.
ingrain,Ingrain,grass,status,,,20,0,self,"The user lays roots that restore its HP on every turn. Because it’s rooted, it can’t switch out."
superpower,Superpower,fighting,physical,120,100,5,0,chosen,"The user attacks the target with great power. However, this also lowers the user’s Attack and Defense stats."
magic-coat,Magic Coat,psychic,status,,,15,4,self,Moves like[[moves:Leech Seed]] and moves that inflict status conditions are blocked by a barrier and reflected back to the user of those moves.
recycle,Recycle,normal,status,,,10,0,self,The user recycles a held item that has been used in battle so it can be used again.
revenge,Revenge,fighting,physical,60,100,10,-4,chosen,This attack move’s power is doubled if the user has been hurt by the opponent in the same turn.
brick-break,Brick Break,fighting,physical,75,100,15,0,chosen,"The user attacks with a swift chop. It can also break barriers, such as [[moves:Light Screen]] and [[moves:Reflect]]."
yawn,Yawn,normal,status,,,10,0,chosen,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.
knock-off,Knock Off,dark,physical,65,100,20,0,chosen,"The user slaps down the target’s held item, and that item can’t be used in that battle. The move does more damage if the target has a held item."
endeavor,Endeavor,normal,physical,,100,5,0,chosen,This attack move cuts down the target’s HP to equal the user’s HP.
eruption,Eruption,fire,special,150,100,5,0,all-opponents,"The user attacks opposing Pokémon with explosive fury. The lower the user’s HP, the lower the move’s power."
skill-swap,Skill Swap,psychic,status,,,10,0,chosen,The user employs its psychic power to exchange Abilities with the target.
imprison,Imprison,psychic,status,,,10,0,self,"If opposing Pokémon know any move also known by the user, they are prevented from using it."
refresh,Refresh,normal,status,,,20,0,self,"The user rests to cure itself of poisoning, a burn, or paralysis."
grudge,Grudge,ghost,status,,,5,0,self,"If the user faints, the user’s grudge fully depletes the PP of the opponent’s move that knocked it out."
snatch,Snatch,dark,status,,,10,4,self,The user steals the effects of any attempts to use a healing or stat-changing move.
secret-power,Secret Power,normal,physical,70,100,20,0,chosen,The additional effects of this attack depend upon where it was used.
dive,Dive,water,physical,80,100,10,0,chosen,"Diving on the first turn, the user floats up and attacks on the next turn."
arm-thrust,Arm Thrust,fighting,physical,15,100,20,0,chosen,The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.
camouflage,Camouflage,normal,status,,,20,0,self,"The user’s type is changed depending on its environment, such as at water’s edge, in grass, or in a cave."
tail-glow,Tail Glow,bug,status,,,20,0,self,"The user stares at flashing lights to focus its mind, drastically raising its Sp. Atk stat."
luster-purge,Luster Purge,psychic,special,70,100,5,0,chosen,The user lets loose a damaging burst of light. This may also lower the target’s Sp. Def stat.
mist-ball,Mist Ball,psychic,special,70,100,5,0,chosen,A mist-like flurry of down envelops and damages the target. This may also lower the target’s Sp. Atk stat.
feather-dance,Feather Dance,flying,status,,100,15,0,chosen,The user covers the target’s body with a mass of down that harshly lowers its Attack stat.
teeter-dance,Teeter Dance,normal,status,,100,20,0,all-others,The user performs a wobbly dance that confuses the Pokémon around it.
blaze-kick,Blaze Kick,fire,physical,85,90,10,0,chosen,The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.
mud-sport,Mud Sport,ground,status,,,15,0,both-sides,The user kicks up mud on the battlefield. This weakens [[types:Electric]]-type moves for five turns.
ice-ball,Ice Ball,ice,physical,30,90,20,0,chosen,The user attacks the target for five turns. The move’s power increases each time it hits.
needle-arm,Needle Arm,grass,physical,60,100,15,0,chosen,The user attacks by wildly swinging its thorny arms. This may also make the target flinch.
slack-off,Slack Off,normal,status,,,10,0,self,"The user slacks off, restoring its own HP by up to half of its max HP."
hyper-voice,Hyper Voice,normal,special,90,100,10,0,all-opponents,The user lets loose a horribly echoing shout with the power to inflict damage.
poison-fang,Poison Fang,poison,physical,50,100,15,0,chosen,The user bites the target with toxic fangs. This may also leave the target badly poisoned.
crush-claw,Crush Claw,normal,physical,75,95,10,0,chosen,The user slashes the target with hard and sharp claws. This may also lower the target’s Defense stat.
blast-burn,Blast Burn,fire,special,150,90,5,0,chosen,The target is razed by a fiery explosion. The user can’t move on the next turn.
hydro-cannon,Hydro Cannon,water,special,150,90,5,0,chosen,The target is hit with a watery blast. The user can’t move on the next turn.
meteor-mash,Meteor Mash,steel,physical,90,90,10,0,chosen,The target is hit with a hard punch fired like a meteor. This may also raise the user’s Attack stat.
astonish,Astonish,ghost,physical,30,100,15,0,chosen,The user attacks the target while shouting in a startling fashion. This may also make the target flinch.
weather-ball,Weather Ball,normal,special,50,100,10,0,chosen,This attack move varies in power and type depending on the weather.
aromatherapy,Aromatherapy,grass,status,,,5,0,all-allies,The user releases a soothing scent that heals all status conditions affecting the user’s party.
fake-tears,Fake Tears,dark,status,,100,20,0,chosen,"The user feigns crying to fluster the target, harshly lowering its Sp. Def stat."
air-cutter,Air Cutter,flying,special,60,95,25,0,all-opponents,The user launches razor-like wind to slash opposing Pokémon. Critical hits land more easily.
overheat,Overheat,fire,special,130,90,5,0,chosen,The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.
odor-sleuth,Odor Sleuth,normal,status,,,40,0,chosen,Enables a [[types:Ghost]]-type target to be hit by [[types:Normal]]- and [[types:Fighting]]-type attacks. This also enables an evasive target to be hit.
rock-tomb,Rock Tomb,rock,physical,60,95,15,0,chosen,Boulders are hurled at the target. This also lowers the target’s Speed stat by preventing its movement.
silver-wind,Silver Wind,bug,special,60,100,5,0,chosen,The target is attacked with powdery scales blown by the wind. This may also raise all the user’s stats.
metal-sound,Metal Sound,steel,status,,85,40,0,chosen,A horrible sound like scraping metal harshly lowers the target’s Sp. Def stat.
grass-whistle,Grass Whistle,grass,status,,55,15,0,chosen,The user plays a pleasant melody that lulls the target into a deep sleep.
tickle,Tickle,normal,status,,100,20,0,chosen,"The user tickles the target into laughing, reducing its Attack and Defense stats."
cosmic-power,Cosmic Power,psychic,status,,,20,0,self,The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.
water-spout,Water Spout,water,special,150,100,5,0,all-opponents,"The user spouts water to damage opposing Pokémon. The lower the user’s HP, the lower the move’s power."
signal-beam,Signal Beam,bug,special,75,100,15,0,chosen,The user attacks with a sinister beam of light. This may also confuse the target.
shadow-punch,Shadow Punch,ghost,physical,60,,20,0,chosen,The user throws a punch from the shadows. This attack never misses.
extrasensory,Extrasensory,psychic,special,80,100,20,0,chosen,"The user attacks with an odd, unseeable power. This may also make the target flinch."
sky-uppercut,Sky Uppercut,fighting,physical,85,90,15,0,chosen,The user attacks the target with an uppercut thrown skyward with force.
sand-tomb,Sand Tomb,ground,physical,35,85,15,0,chosen,The user traps the target inside a harshly raging sandstorm for four to five turns.
sheer-cold,Sheer Cold,ice,special,,30,5,0,chosen,The target faints instantly. It’s less likely to hit the target if it’s used by Pokémon other than [[types:Ice]] types.
muddy-water,Muddy Water,water,special,90,85,10,0,all-opponents,The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy.
bullet-seed,Bullet Seed,grass,physical,25,100,30,0,chosen,The user forcefully shoots seeds at the target two to five times in a row.
aerial-ace,Aerial Ace,flying,physical,60,,20,0,chosen,"The user confounds the target with speed, then slashes. This attack never misses."
icicle-spear,Icicle Spear,ice,physical,25,100,30,0,chosen,The user launches sharp icicles at the target two to five times in a row.
iron-defense,Iron Defense,steel,status,,,15,0,self,"The user hardens its body’s surface like iron, sharply raising its Defense stat."
block,Block,normal,status,,,5,0,chosen,The user blocks the target’s way with arms spread wide to prevent escape.
howl,Howl,normal,status,,,40,0,all-allies,The user howls loudly to raise the spirit of itself and allies. This raises their Attack stats.
dragon-claw,Dragon Claw,dragon,physical,80,100,15,0,chosen,The user slashes the target with huge sharp claws.
frenzy-plant,Frenzy Plant,grass,special,150,90,5,0,chosen,The user slams the target with the roots of an enormous tree. The user can’t move on the next turn.
bulk-up,Bulk Up,fighting,status,,,20,0,self,"The user tenses its muscles to bulk up its body, raising both its Attack and Defense stats."
bounce,Bounce,flying,physical,85,85,5,0,chosen,"The user bounces up high, then drops on the target on the second turn. This may also leave the target with paralysis."
mud-shot,Mud Shot,ground,special,55,95,15,0,chosen,The user attacks by hurling a blob of mud at the target. This also lowers the target’s Speed stat.
poison-tail,Poison Tail,poison,physical,50,100,25,0,chosen,The user hits the target with its tail. This may also poison the target. Critical hits land more easily.
covet,Covet,normal,physical,60,100,25,0,chosen,"The user endearingly approaches the target, then steals the target’s held item."
volt-tackle,Volt Tackle,electric,physical,120,100,15,0,chosen,The user electrifies itself and charges the target. This also damages the user quite a lot. This attack may leave the target with paralysis.
magical-leaf,Magical Leaf,grass,special,60,,20,0,chosen,The user scatters curious leaves that chase the target. This attack never misses.
water-sport,Water Sport,water,status,,,15,0,both-sides,The user soaks the battlefield with water. This weakens [[types:Fire]]-type moves for five turns.
calm-mind,Calm Mind,psychic,status,,,20,0,self,The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.
leaf-blade,Leaf Blade,grass,physical,90,100,15,0,chosen,The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily.
dragon-dance,Dragon Dance,dragon,status,,,20,0,self,"The user vigorously performs a mystic, powerful dance that raises its Attack and Speed stats."
rock-blast,Rock Blast,rock,physical,25,90,10,0,chosen,The user hurls hard rocks at the target. Two to five rocks are launched in a row.
shock-wave,Shock Wave,electric,special,60,,20,0,chosen,The user strikes the target with a quick jolt of electricity. This attack never misses.
water-pulse,Water Pulse,water,special,60,100,20,0,chosen,The user attacks the target with a pulsing blast of water. This may also confuse the target.
doom-desire,Doom Desire,steel,special,140,100,5,0,chosen,"Two turns after this move is used, a concentrated bundle of light blasts the target."
psycho-boost,Psycho Boost,psychic,special,140,90,5,0,chosen,The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.
roost,Roost,flying,status,,,10,0,self,The user lands and rests its body. This move restores the user’s HP by up to half of its max HP.
gravity,Gravity,psychic,status,,,5,0,both-sides,This move enables [[types:Flying]]-type Pokémon or Pokémon with the [[abilities:Levitate]] Ability to be hit by [[types:Ground]]-type moves. Moves that involve flying can’t be used.
miracle-eye,Miracle Eye,psychic,status,,,40,0,chosen,Enables a Dark-type target to be hit by Psychic-type attacks. This also enables an evasive target to be hit.
wake-up-slap,Wake-Up Slap,fighting,physical,70,100,10,0,chosen,"This attack inflicts big damage on a sleeping target. This also wakes the target up, however."
hammer-arm,Hammer Arm,fighting,physical,100,90,10,0,chosen,"The user swings and hits with its strong, heavy fist. It lowers the user’s Speed, however."
gyro-ball,Gyro Ball,steel,physical,,100,5,0,chosen,"The user tackles the target with a high-speed spin. The slower the user compared to the target, the greater the move’s power."
healing-wish,Healing Wish,psychic,status,,,10,0,self,"The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured."
brine,Brine,water,special,65,100,10,0,chosen,"If the target’s HP is half or less, this attack will hit with double the power."
natural-gift,Natural Gift,normal,physical,,100,15,0,chosen,The user draws power to attack by using its held Berry. The Berry determines the move’s type and power.
feint,Feint,normal,physical,30,100,10,2,chosen,This attack hits a target using a move such as [[moves:Protect]] or [[moves:Detect]]. This also lifts the effects of those moves.
pluck,Pluck,flying,physical,60,100,20,0,chosen,"The user pecks the target. If the target is holding a Berry, the user eats it and gains its effect."
tailwind,Tailwind,flying,status,,,15,0,user-side,The user whips up a turbulent whirlwind that ups the Speed stats of the user and its allies for four turns.
acupressure,Acupressure,normal,status,,,30,0,chosen-ally,"The user applies pressure to stress points, sharply boosting one of its or its allies’ stats."
metal-burst,Metal Burst,steel,physical,,100,10,0,unique,The user retaliates with much greater force against the opponent that last inflicted damage on it.
u-turn,U-turn,bug,physical,70,100,20,0,chosen,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
close-combat,Close Combat,fighting,physical,120,100,5,0,chosen,The user fights the target up close without guarding itself. This also lowers the user’s Defense and Sp. Def stats.
payback,Payback,dark,physical,50,100,10,0,chosen,"The user stores power, then attacks. If the user moves after the target, this attack’s power will be doubled."
assurance,Assurance,dark,physical,60,100,10,0,chosen,"If the target has already taken some damage in the same turn, this attack’s power is doubled."
embargo,Embargo,dark,status,,100,15,0,chosen,This move prevents the target from using its held item for five turns. Its Trainer is also prevented from using items on it.
fling,Fling,dark,physical,,100,10,0,chosen,The user flings its held item at the target to attack. This move’s power and effects depend on the item.
psycho-shift,Psycho Shift,psychic,status,,100,10,0,chosen,"Using its psychic power of suggestion, the user transfers its status conditions to the target."
trump-card,Trump Card,normal,special,,,5,0,chosen,"The fewer PP this move has, the greater its power."
heal-block,Heal Block,psychic,status,,100,15,0,all-opponents,"For five turns, the user prevents the opposing team from using any moves, Abilities, or held items that recover HP."
wring-out,Wring Out,normal,special,,100,5,0,chosen,"The user powerfully wrings the target. The more HP the target has, the greater the move’s power."
power-trick,Power Trick,psychic,status,,,10,0,self,The user employs its psychic power to switch its Attack stat with its Defense stat.
gastro-acid,Gastro Acid,poison,status,,100,10,0,chosen,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target’s Ability.
lucky-chant,Lucky Chant,normal,status,,,30,0,user-side,"The user chants an incantation toward the sky, preventing opposing Pokémon from landing critical hits for five turns."
me-first,Me First,normal,status,,,20,0,unique,The user cuts ahead of the target to copy and use the target’s intended move with greater power. This move fails if it isn’t used first.
copycat,Copycat,normal,status,,,20,0,self,The user mimics the move used immediately before it. The move fails if no other move has been used yet.
power-swap,Power Swap,psychic,status,,,10,0,chosen,The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target.
guard-swap,Guard Swap,psychic,status,,,10,0,chosen,The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target.
punishment,Punishment,dark,physical,,100,5,0,chosen,"The more the target has powered up with stat changes, the greater the move’s power."
last-resort,Last Resort,normal,physical,140,100,5,0,chosen,This move can be used only after the user has used all the other moves it knows in the battle.
worry-seed,Worry Seed,grass,status,,100,10,0,chosen,A seed that causes worry is planted on the target. It prevents sleep by making the target’s Ability Insomnia.
sucker-punch,Sucker Punch,dark,physical,70,100,5,1,chosen,This move enables the user to attack first. This move fails if the target is not readying an attack.
toxic-spikes,Toxic Spikes,poison,status,,,20,0,other-side,The user lays a trap of poison spikes at the feet of the opposing team. The spikes will poison opposing Pokémon that switch into battle.
heart-swap,Heart Swap,psychic,status,,,10,0,chosen,The user employs its psychic power to switch stat changes with the target.
aqua-ring,Aqua Ring,water,status,,,20,0,self,The user envelops itself in a veil made of water. It regains some HP every turn.
magnet-rise,Magnet Rise,electric,status,,,10,0,self,The user levitates using electrically generated magnetism for five turns.
flare-blitz,Flare Blitz,fire,physical,120,100,15,0,chosen,The user cloaks itself in fire and charges the target. This also damages the user quite a lot. This attack may leave the target with a burn.
force-palm,Force Palm,fighting,physical,60,100,10,0,chosen,The target is attacked with a shock wave. This may also leave the target with paralysis.
aura-sphere,Aura Sphere,fighting,special,80,,20,0,chosen,The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.
rock-polish,Rock Polish,rock,status,,,20,0,self,The user polishes its body to reduce drag. This sharply raises the Speed stat.
poison-jab,Poison Jab,poison,physical,80,100,20,0,chosen,"The target is stabbed with a tentacle, arm, or the like steeped in poison. This may also poison the target."
dark-pulse,Dark Pulse,dark,special,80,100,15,0,chosen,The user releases a horrible aura imbued with dark thoughts. This may also make the target flinch.
night-slash,Night Slash,dark,physical,70,100,15,0,chosen,The user slashes the target the instant an opportunity arises. Critical hits land more easily.
aqua-tail,Aqua Tail,water,physical,90,90,10,0,chosen,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
seed-bomb,Seed Bomb,grass,physical,80,100,15,0,chosen,The user slams a barrage of hard-shelled seeds down on the target from above.
air-slash,Air Slash,flying,special,75,95,15,0,chosen,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.
x-scissor,X-Scissor,bug,physical,80,100,15,0,chosen,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.
bug-buzz,Bug Buzz,bug,special,90,100,10,0,chosen,The user generates a damaging sound wave by vibration. This may also lower the target’s Sp. Def stat.
dragon-pulse,Dragon Pulse,dragon,special,85,100,10,0,chosen,The target is attacked with a shock wave generated by the user’s gaping mouth.
dragon-rush,Dragon Rush,dragon,physical,100,75,10,0,chosen,The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.
power-gem,Power Gem,rock,special,80,100,20,0,chosen,The user attacks with a ray of light that sparkles as if it were made of gemstones.
drain-punch,Drain Punch,fighting,physical,75,100,10,0,chosen,An energy-draining punch. The user’s HP is restored by half the damage taken by the target.
vacuum-wave,Vacuum Wave,fighting,special,40,100,30,1,chosen,The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.
focus-blast,Focus Blast,fighting,special,120,70,5,0,chosen,The user heightens its mental focus and unleashes its power. This may also lower the target’s Sp. Def stat.
energy-ball,Energy Ball,grass,special,90,100,10,0,chosen,The user draws power from nature and fires it at the target. This may also lower the target’s Sp. Def stat.
brave-bird,Brave Bird,flying,physical,120,100,15,0,chosen,The user tucks in its wings and charges from a low altitude. This also damages the user quite a lot.
earth-power,Earth Power,ground,special,90,100,10,0,chosen,The user makes the ground under the target erupt with power. This may also lower the target’s Sp. Def stat.
switcheroo,Switcheroo,dark,status,,100,10,0,chosen,The user trades held items with the target faster than the eye can follow.
giga-impact,Giga Impact,normal,physical,150,90,5,0,chosen,The user charges at the target using every bit of its power. The user can’t move on the next turn.
nasty-plot,Nasty Plot,dark,status,,,20,0,self,The user stimulates its brain by thinking bad thoughts. This sharply raises the user’s Sp. Atk stat.
bullet-punch,Bullet Punch,steel,physical,40,100,30,1,chosen,The user strikes the target with tough punches as fast as bullets. This move always goes first.
avalanche,Avalanche,ice,physical,60,100,10,-4,chosen,The power of this attack move is doubled if the user has been hurt by the target in the same turn.
ice-shard,Ice Shard,ice,physical,40,100,30,1,chosen,The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.
shadow-claw,Shadow Claw,ghost,physical,70,100,15,0,chosen,The user slashes with a sharp claw made from shadows. Critical hits land more easily.
thunder-fang,Thunder Fang,electric,physical,65,95,15,0,chosen,The user bites with electrified fangs. This may also make the target flinch or leave it with paralysis.
ice-fang,Ice Fang,ice,physical,65,95,15,0,chosen,The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.
fire-fang,Fire Fang,fire,physical,65,95,15,0,chosen,The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.
shadow-sneak,Shadow Sneak,ghost,physical,40,100,30,1,chosen,The user extends its shadow and attacks the target from behind. This move always goes first.
mud-bomb,Mud Bomb,ground,special,65,85,10,0,chosen,The user launches a hard-packed mud ball to attack. This may also lower the target’s accuracy.
psycho-cut,Psycho Cut,psychic,physical,70,100,20,0,chosen,The user tears at the target with blades formed by psychic power. Critical hits land more easily.
zen-headbutt,Zen Headbutt,psychic,physical,80,90,15,0,chosen,The user focuses its willpower to its head and attacks the target. This may also make the target flinch.
mirror-shot,Mirror Shot,steel,special,65,85,10,0,chosen,The user lets loose a flash of energy at the target from its polished body. This may also lower the target’s accuracy.
flash-cannon,Flash Cannon,steel,special,80,100,10,0,chosen,The user gathers all its light energy and releases it all at once. This may also lower the target’s Sp. Def stat.
rock-climb,Rock Climb,normal,physical,90,85,20,0,chosen,The user attacks the target by smashing into it with incredible force. This may also confuse the target.
defog,Defog,flying,status,,,15,0,chosen,A strong wind blows away the target’s barriers such as [[moves:Reflect]] or [[moves:Light Screen]]. This also lowers the target’s evasiveness.
trick-room,Trick Room,psychic,status,,,5,-7,both-sides,The user creates a bizarre area in which slower Pokémon get to move first for five turns.
draco-meteor,Draco Meteor,dragon,special,130,90,5,0,chosen,Comets are summoned down from the sky onto the target. The attack’s recoil harshly lowers the user’s Sp. Atk stat.
discharge,Discharge,electric,special,80,100,15,0,all-others,The user strikes everything around it by letting loose a flare of electricity. This may also cause paralysis.
lava-plume,Lava Plume,fire,special,80,100,15,0,all-others,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.
leaf-storm,Leaf Storm,grass,special,130,90,5,0,chosen,The user whips up a storm of leaves around the target. The attack’s recoil harshly lowers the user’s Sp. Atk stat.
power-whip,Power Whip,grass,physical,120,85,10,0,chosen,"The user violently whirls its vines, tentacles, or the like to harshly lash the target."
rock-wrecker,Rock Wrecker,rock,physical,150,90,5,0,chosen,The user launches a huge boulder at the target to attack. The user can’t move on the next turn.
cross-poison,Cross Poison,poison,physical,70,100,20,0,chosen,A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily.
gunk-shot,Gunk Shot,poison,physical,120,80,5,0,chosen,The user shoots filthy garbage at the target to attack. This may also poison the target.
iron-head,Iron Head,steel,physical,80,100,15,0,chosen,The user slams the target with its steel-hard head. This may also make the target flinch.
magnet-bomb,Magnet Bomb,steel,physical,60,,20,0,chosen,The user launches steel bombs that stick to the target. This attack never misses.
stone-edge,Stone Edge,rock,physical,100,80,5,0,chosen,The user stabs the target from below with sharpened stones. Critical hits land more easily.
captivate,Captivate,normal,status,,100,20,0,all-opponents,"If any opposing Pokémon is the opposite gender of the user, it is charmed, which harshly lowers its Sp. Atk stat."
stealth-rock,Stealth Rock,rock,status,,,20,0,other-side,The user lays a trap of levitating stones around the opposing team. The trap hurts opposing Pokémon that switch into battle.
grass-knot,Grass Knot,grass,special,,100,20,0,chosen,"The user snares the target with grass and trips it. The heavier the target, the greater the move’s power."
chatter,Chatter,flying,special,65,100,20,0,chosen,The user attacks the target with sound waves of deafening chatter. This confuses the target.
judgment,Judgment,normal,special,100,100,10,0,chosen,The user releases countless shots of light at the target. This move’s type varies depending on the kind of Plate the user is holding.
bug-bite,Bug Bite,bug,physical,60,100,20,0,chosen,"The user bites the target. If the target is holding a Berry, the user eats it and gains its effect."
charge-beam,Charge Beam,electric,special,50,90,10,0,chosen,The user attacks the target with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.
wood-hammer,Wood Hammer,grass,physical,120,100,15,0,chosen,The user slams its rugged body into the target to attack. This also damages the user quite a lot.
aqua-jet,Aqua Jet,water,physical,40,100,20,1,chosen,The user lunges at the target at a speed that makes it almost invisible. This move always goes first.
attack-order,Attack Order,bug,physical,90,100,15,0,chosen,The user calls out its underlings to pummel the target. Critical hits land more easily.
defend-order,Defend Order,bug,status,,,10,0,self,"The user calls out its underlings to shield its body, raising its Defense and Sp. Def stats."
heal-order,Heal Order,bug,status,,,10,0,self,The user calls out its underlings to heal it. The user regains up to half of its max HP.
head-smash,Head Smash,rock,physical,150,80,5,0,chosen,"The user attacks the target with a hazardous, full-power headbutt. This also damages the user terribly."
double-hit,Double Hit,normal,physical,35,90,10,0,chosen,"The user slams the target with a long tail, vines, or a tentacle. The target is hit twice in a row."
roar-of-time,Roar of Time,dragon,special,150,90,5,0,chosen,The user blasts the target with power that distorts even time. The user can’t move on the next turn.
spacial-rend,Spacial Rend,dragon,special,100,95,5,0,chosen,The user tears the target along with the space around it. Critical hits land more easily.
lunar-dance,Lunar Dance,psychic,status,,,10,0,self,"The user faints. In return, the Pokémon taking its place will have its status and HP fully restored."
crush-grip,Crush Grip,normal,physical,,100,5,0,chosen,"The target is crushed with great force. The more HP the target has left, the greater this move’s power."
magma-storm,Magma Storm,fire,special,100,75,5,0,chosen,The target becomes trapped within a maelstrom of fire that rages for four to five turns.
dark-void,Dark Void,dark,status,,50,10,0,all-opponents,Opposing Pokémon are dragged into a world of total darkness that makes them sleep.
seed-flare,Seed Flare,grass,special,120,85,5,0,chosen,The user emits a shock wave from its body to attack its target. This may also harshly lower the target’s Sp. Def stat.
ominous-wind,Ominous Wind,ghost,special,60,100,5,0,chosen,The user blasts the target with a gust of repulsive wind. This may also raise all the user’s stats at once.
shadow-force,Shadow Force,ghost,physical,120,100,5,0,chosen,"The user disappears, then strikes the target on the next turn. This move hits even if the target protects itself."
