pokemon_identifier,stat_identifier,base_stat
articuno-galar,atk,85
articuno-galar,def,85
articuno-galar,spatk,125
articuno-galar,spdef,100
articuno-galar,spe,95
zapdos,hp,90
zapdos,atk,90
zapdos,def,85
zapdos,spatk,125
zapdos,spdef,90
zapdos,spe,100
zapdos-galar,hp,90
zapdos-galar,atk,125
zapdos-galar,def,90
zapdos-galar,spatk,85
zapdos-galar,spdef,90
zapdos-galar,spe,100
moltres,hp,90
moltres,atk,100
moltres,def,90
moltres,spatk,125
moltres,spdef,85
moltres,spe,90
moltres-galar,hp,90
moltres-galar,atk,85
moltres-galar,def,90
moltres-galar,spatk,100
moltres-galar,spdef,125
moltres-galar,spe,90
dratini,hp,41
dratini,atk,64
dratini,def,45
dratini,spatk,50
dratini,spdef,50
dratini,spe,50
dragonair,hp,61
dragonair,atk,84
dragonair,def,65
dragonair,spatk,70
dragonair,spdef,70
dragonair,spe,70
dragonite,hp,91
dragonite,atk,134
dragonite,def,95
dragonite,spatk,100
dragonite,spdef,100
dragonite,spe,80
mewtwo,hp,106
mewtwo,atk,110
mewtwo,def,90
mewtwo,spatk,154
mewtwo,spdef,90
mewtwo,spe,130
mewtwo-mega-x,hp,106
mewtwo-mega-x,atk,190
mewtwo-mega-x,def,100
mewtwo-mega-x,spatk,154
mewtwo-mega-x,spdef,100
mewtwo-mega-x,spe,130
mewtwo-mega-y,hp,106
mewtwo-mega-y,atk,150
mewtwo-mega-y,def,70
mewtwo-mega-y,spatk,194
mewtwo-mega-y,spdef,120
mewtwo-mega-y,spe,140
mew,hp,100
mew,atk,100
mew,def,100
mew,spatk,100
mew,spdef,100
mew,spe,100
chikorita,hp,45
chikorita,atk,49
chikorita,def,65
chikorita,spatk,49
chikorita,spdef,65
chikorita,spe,45
bayleef,hp,60
bayleef,atk,62
bayleef,def,80
bayleef,spatk,63
bayleef,spdef,80
bayleef,spe,60
meganium,hp,80
meganium,atk,82
meganium,def,100
meganium,spatk,83
meganium,spdef,100
meganium,spe,80
cyndaquil,hp,39
cyndaquil,atk,52
cyndaquil,def,43
cyndaquil,spatk,60
cyndaquil,spdef,50
cyndaquil,spe,65
quilava,hp,58
quilava,atk,64
quilava,def,58
quilava,spatk,80
quilava,spdef,65
quilava,spe,80
typhlosion,hp,78
typhlosion,atk,84
typhlosion,def,78
typhlosion,spatk,109
typhlosion,spdef,85
typhlosion,spe,100
totodile,hp,50
totodile,atk,65
totodile,def,64
totodile,spatk,44
totodile,spdef,48
totodile,spe,43
croconaw,hp,65
croconaw,atk,80
croconaw,def,80
croconaw,spatk,59
croconaw,spdef,63
croconaw,spe,58
feraligatr,hp,85
feraligatr,atk,105
feraligatr,def,100
feraligatr,spatk,79
feraligatr,spdef,83
feraligatr,spe,78
sentret,hp,35
sentret,atk,46
sentret,def,34
sentret,spatk,35
sentret,spdef,45
sentret,spe,20
furret,hp,85
furret,atk,76
furret,def,64
furret,spatk,45
furret,spdef,55
furret,spe,90
hoothoot,hp,60
hoothoot,atk,30
hoothoot,def,30
hoothoot,spatk,36
hoothoot,spdef,56
hoothoot,spe,50
noctowl,hp,100
noctowl,atk,50
noctowl,def,50
noctowl,spatk,86
noctowl,spdef,96
noctowl,spe,70
ledyba,hp,40
ledyba,atk,20
ledyba,def,30
ledyba,spatk,40
ledyba,spdef,80
ledyba,spe,55
ledian,hp,55
ledian,atk,35
ledian,def,50
ledian,spatk,55
ledian,spdef,110
ledian,spe,85
spinarak,hp,40
spinarak,atk,60
spinarak,def,40
spinarak,spatk,40
spinarak,spdef,40
spinarak,spe,30
ariados,hp,70
ariados,atk,90
ariados,def,70
ariados,spatk,60
ariados,spdef,70
ariados,spe,40
crobat,hp,85
crobat,atk,90
crobat,def,80
crobat,spatk,70
crobat,spdef,80
crobat,spe,130
chinchou,hp,75
chinchou,atk,38
chinchou,def,38
chinchou,spatk,56
chinchou,spdef,56
chinchou,spe,67
lanturn,hp,125
lanturn,atk,58
lanturn,def,58
lanturn,spatk,76
lanturn,spdef,76
lanturn,spe,67
pichu,hp,20
pichu,atk,40
pichu,def,15
pichu,spatk,35
pichu,spdef,35
pichu,spe,60
pichu-spiky-eared,hp,20
pichu-spiky-eared,atk,40
pichu-spiky-eared,def,15
pichu-spiky-eared,spatk,35
pichu-spiky-eared,spdef,35
pichu-spiky-eared,spe,60
cleffa,hp,50
cleffa,atk,25
cleffa,def,28
cleffa,spatk,45
cleffa,spdef,55
cleffa,spe,15
igglybuff,hp,90
igglybuff,atk,30
igglybuff,def,15
igglybuff,spatk,40
igglybuff,spdef,20
igglybuff,spe,15
togepi,hp,35
togepi,atk,20
togepi,def,65
togepi,spatk,40
togepi,spdef,65
togepi,spe,20
togetic,hp,55
togetic,atk,40
togetic,def,85
togetic,spatk,80
togetic,spdef,105
togetic,spe,40
natu,hp,40
natu,atk,50
natu,def,45
natu,spatk,70
natu,spdef,45
natu,spe,70
xatu,hp,65
xatu,atk,75
xatu,def,70
xatu,spatk,95
xatu,spdef,70
xatu,spe,95
mareep,hp,55
mareep,atk,40
mareep,def,40
mareep,spatk,65
mareep,spdef,45
mareep,spe,35
flaaffy,hp,70
flaaffy,atk,55
flaaffy,def,55
flaaffy,spatk,80
flaaffy,spdef,60
flaaffy,spe,45
ampharos,hp,90
ampharos,atk,75
ampharos,def,85
ampharos,spatk,115
ampharos,spdef,90
ampharos,spe,55
ampharos-mega,hp,90
ampharos-mega,atk,95
ampharos-mega,def,105
ampharos-mega,spatk,165
ampharos-mega,spdef,110
ampharos-mega,spe,45
bellossom,hp,75
bellossom,atk,80
bellossom,def,95
bellossom,spatk,90
bellossom,spdef,100
bellossom,spe,50
marill,hp,70
marill,atk,20
marill,def,50
marill,spatk,20
marill,spdef,50
marill,spe,40
azumarill,hp,100
azumarill,atk,50
azumarill,def,80
azumarill,spatk,60
azumarill,spdef,80
azumarill,spe,50
sudowoodo,hp,70
sudowoodo,atk,100
sudowoodo,def,115
sudowoodo,spatk,30
sudowoodo,spdef,65
sudowoodo,spe,30
politoed,hp,90
politoed,atk,75
politoed,def,75
politoed,spatk,90
politoed,spdef,100
politoed,spe,70
hoppip,hp,35
hoppip,atk,35
hoppip,def,40
hoppip,spatk,35
hoppip,spdef,55
hoppip,spe,50
skiploom,hp,55
skiploom,atk,45
skiploom,def,50
skiploom,spatk,45
skiploom,spdef,65
skiploom,spe,80
jumpluff,hp,75
jumpluff,atk,55
jumpluff,def,70
jumpluff,spatk,55
jumpluff,spdef,95
jumpluff,spe,110
aipom,hp,55
aipom,atk,70
aipom,def,55
aipom,spatk,40
aipom,spdef,55
aipom,spe,85
sunkern,hp,30
sunkern,atk,30
sunkern,def,30
sunkern,spatk,30
sunkern,spdef,30
sunkern,spe,30
sunflora,hp,75
sunflora,atk,75
sunflora,def,55
sunflora,spatk,105
sunflora,spdef,85
sunflora,spe,30
yanma,hp,65
yanma,atk,65
yanma,def,45
yanma,spatk,75
yanma,spdef,45
yanma,spe,95
wooper,hp,55
wooper,atk,45
wooper,def,45
wooper,spatk,25
wooper,spdef,25
wooper,spe,15
quagsire,hp,95
quagsire,atk,85
quagsire,def,85
quagsire,spatk,65
quagsire,spdef,65
quagsire,spe,35
espeon,hp,65
espeon,atk,65
espeon,def,60
espeon,spatk,130
espeon,spdef,95
espeon,spe,110
umbreon,hp,95
umbreon,atk,65
umbreon,def,110
umbreon,spatk,60
umbreon,spdef,130
umbreon,spe,65
murkrow,hp,60
murkrow,atk,85
murkrow,def,42
murkrow,spatk,85
murkrow,spdef,42
murkrow,spe,91
slowking,hp,95
slowking,atk,75
slowking,def,80
slowking,spatk,100
slowking,spdef,110
slowking,spe,30
slowking-galar,hp,95
slowking-galar,atk,65
slowking-galar,def,80
slowking-galar,spatk,110
slowking-galar,spdef,110
slowking-galar,spe,30
misdreavus,hp,60
misdreavus,atk,60
misdreavus,def,60
misdreavus,spatk,85
misdreavus,spdef,85
misdreavus,spe,85
unown-a,hp,48
unown-a,atk,72
unown-a,def,48
unown-a,spatk,72
unown-a,spdef,48
unown-a,spe,48
unown-b,hp,48
unown-b,atk,72
unown-b,def,48
unown-b,spatk,72
unown-b,spdef,48
unown-b,spe,48
unown-c,hp,48
unown-c,atk,72
unown-c,def,48
unown-c,spatk,72
unown-c,spdef,48
unown-c,spe,48
unown-d,hp,48
unown-d,atk,72
unown-d,def,48
unown-d,spatk,72
unown-d,spdef,48
unown-d,spe,48
unown-e,hp,48
unown-e,atk,72
unown-e,def,48
unown-e,spatk,72
unown-e,spdef,48
unown-e,spe,48
unown-f,hp,48
unown-f,atk,72
unown-f,def,48
unown-f,spatk,72
unown-f,spdef,48
unown-f,spe,48
unown-g,hp,48
unown-g,atk,72
unown-g,def,48
unown-g,spatk,72
unown-g,spdef,48
unown-g,spe,48
unown-h,hp,48
unown-h,atk,72
unown-h,def,48
unown-h,spatk,72
unown-h,spdef,48
unown-h,spe,48
unown-i,hp,48
unown-i,atk,72
unown-i,def,48
unown-i,spatk,72
unown-i,spdef,48
unown-i,spe,48
unown-j,hp,48
unown-j,atk,72
unown-j,def,48
unown-j,spatk,72
unown-j,spdef,48
unown-j,spe,48
unown-k,hp,48
unown-k,atk,72
unown-k,def,48
unown-k,spatk,72
unown-k,spdef,48
unown-k,spe,48
unown-l,hp,48
unown-l,atk,72
unown-l,def,48
unown-l,spatk,72
unown-l,spdef,48
unown-l,spe,48
unown-m,hp,48
unown-m,atk,72
unown-m,def,48
unown-m,spatk,72
unown-m,spdef,48
unown-m,spe,48
unown-n,hp,48
unown-n,atk,72
unown-n,def,48
unown-n,spatk,72
unown-n,spdef,48
unown-n,spe,48
unown-o,hp,48
unown-o,atk,72
unown-o,def,48
unown-o,spatk,72
unown-o,spdef,48
unown-o,spe,48
unown-p,hp,48
unown-p,atk,72
unown-p,def,48
unown-p,spatk,72
unown-p,spdef,48
unown-p,spe,48
unown-q,hp,48
unown-q,atk,72
unown-q,def,48
unown-q,spatk,72
unown-q,spdef,48
unown-q,spe,48
unown-r,hp,48
unown-r,atk,72
unown-r,def,48
unown-r,spatk,72
unown-r,spdef,48
unown-r,spe,48
unown-s,hp,48
unown-s,atk,72
unown-s,def,48
unown-s,spatk,72
unown-s,spdef,48
unown-s,spe,48
unown-t,hp,48
unown-t,atk,72
unown-t,def,48
unown-t,spatk,72
unown-t,spdef,48
unown-t,spe,48
unown-u,hp,48
unown-u,atk,72
unown-u,def,48
unown-u,spatk,72
unown-u,spdef,48
unown-u,spe,48
unown-v,hp,48
unown-v,atk,72
unown-v,def,48
unown-v,spatk,72
unown-v,spdef,48
unown-v,spe,48
unown-w,hp,48
unown-w,atk,72
unown-w,def,48
unown-w,spatk,72
unown-w,spdef,48
unown-w,spe,48
unown-x,hp,48
unown-x,atk,72
unown-x,def,48
unown-x,spatk,72
unown-x,spdef,48
unown-x,spe,48
unown-y,hp,48
unown-y,atk,72
unown-y,def,48
unown-y,spatk,72
unown-y,spdef,48
unown-y,spe,48
unown-z,hp,48
unown-z,atk,72
unown-z,def,48
unown-z,spatk,72
unown-z,spdef,48
unown-z,spe,48
unown-exclamation,hp,48
unown-exclamation,atk,72
unown-exclamation,def,48
unown-exclamation,spatk,72
unown-exclamation,spdef,48
unown-exclamation,spe,48
unown-question,hp,48
unown-question,atk,72
unown-question,def,48
unown-question,spatk,72
unown-question,spdef,48
unown-question,spe,48
wobbuffet,hp,190
wobbuffet,atk,33
wobbuffet,def,58
wobbuffet,spatk,33
wobbuffet,spdef,58
wobbuffet,spe,33
girafarig,hp,70
girafarig,atk,80
girafarig,def,65
girafarig,spatk,90
girafarig,spdef,65
girafarig,spe,85
pineco,hp,50
pineco,atk,65
pineco,def,90
pineco,spatk,35
pineco,spdef,35
pineco,spe,15
forretress,hp,75
forretress,atk,90
forretress,def,140
forretress,spatk,60
forretress,spdef,60
forretress,spe,40
dunsparce,hp,100
dunsparce,atk,70
dunsparce,def,70
dunsparce,spatk,65
dunsparce,spdef,65
dunsparce,spe,45
gligar,hp,65
gligar,atk,75
gligar,def,105
gligar,spatk,35
gligar,spdef,65
gligar,spe,85
steelix,hp,75
steelix,atk,85
steelix,def,200
steelix,spatk,55
steelix,spdef,65
steelix,spe,30
steelix-mega,hp,75
steelix-mega,atk,125
steelix-mega,def,230
steelix-mega,spatk,55
steelix-mega,spdef,95
steelix-mega,spe,30
snubbull,hp,60
snubbull,atk,80
snubbull,def,50
snubbull,spatk,40
snubbull,spdef,40
snubbull,spe,30
granbull,hp,90
granbull,atk,120
granbull,def,75
granbull,spatk,60
granbull,spdef,60
granbull,spe,45
qwilfish,hp,65
qwilfish,atk,95
qwilfish,def,85
qwilfish,spatk,55
qwilfish,spdef,55
qwilfish,spe,85
scizor,hp,70
scizor,atk,130
scizor,def,100
scizor,spatk,55
scizor,spdef,80
scizor,spe,65
scizor-mega,hp,70
scizor-mega,atk,150
scizor-mega,def,140
scizor-mega,spatk,65
scizor-mega,spdef,100
scizor-mega,spe,75
shuckle,hp,20
shuckle,atk,10
shuckle,def,230
shuckle,spatk,10
shuckle,spdef,230
shuckle,spe,5
heracross,hp,80
heracross,atk,125
heracross,def,75
heracross,spatk,40
heracross,spdef,95
heracross,spe,85
heracross-mega,hp,80
heracross-mega,atk,185
heracross-mega,def,115
heracross-mega,spatk,40
heracross-mega,spdef,105
heracross-mega,spe,75
sneasel,hp,55
sneasel,atk,95
sneasel,def,55
sneasel,spatk,35
sneasel,spdef,75
sneasel,spe,115
teddiursa,hp,60
teddiursa,atk,80
teddiursa,def,50
teddiursa,spatk,50
teddiursa,spdef,50
teddiursa,spe,40
ursaring,hp,90
ursaring,atk,130
ursaring,def,75
ursaring,spatk,75
ursaring,spdef,75
ursaring,spe,55
slugma,hp,40
slugma,atk,40
slugma,def,40
slugma,spatk,70
slugma,spdef,40
slugma,spe,20
magcargo,hp,60
magcargo,atk,50
magcargo,def,120
magcargo,spatk,90
magcargo,spdef,80
magcargo,spe,30
swinub,hp,50
swinub,atk,50
swinub,def,40
swinub,spatk,30
swinub,spdef,30
swinub,spe,50
piloswine,hp,100
piloswine,atk,100
piloswine,def,80
piloswine,spatk,60
piloswine,spdef,60
piloswine,spe,50
corsola,hp,65
corsola,atk,55
corsola,def,95
corsola,spatk,65
corsola,spdef,95
corsola,spe,35
corsola-galar,hp,60
corsola-galar,atk,55
corsola-galar,def,100
corsola-galar,spatk,65
corsola-galar,spdef,100
corsola-galar,spe,30
remoraid,hp,35
remoraid,atk,65
remoraid,def,35
remoraid,spatk,65
remoraid,spdef,35
remoraid,spe,65
octillery,hp,75
octillery,atk,105
octillery,def,75
octillery,spatk,105
octillery,spdef,75
octillery,spe,45
delibird,hp,45
delibird,atk,55
delibird,def,45
delibird,spatk,65
delibird,spdef,45
delibird,spe,75
mantine,hp,85
mantine,atk,40
mantine,def,70
mantine,spatk,80
mantine,spdef,140
mantine,spe,70
skarmory,hp,65
skarmory,atk,80
skarmory,def,140
skarmory,spatk,40
skarmory,spdef,70
skarmory,spe,70
houndour,hp,45
houndour,atk,60
houndour,def,30
houndour,spatk,80
houndour,spdef,50
houndour,spe,65
houndoom,hp,75
houndoom,atk,90
houndoom,def,50
houndoom,spatk,110
houndoom,spdef,80
houndoom,spe,95
houndoom-mega,hp,75
houndoom-mega,atk,90
houndoom-mega,def,90
houndoom-mega,spatk,140
houndoom-mega,spdef,90
houndoom-mega,spe,115
kingdra,hp,75
kingdra,atk,95
kingdra,def,95
kingdra,spatk,95
kingdra,spdef,95
kingdra,spe,85
phanpy,hp,90
phanpy,atk,60
phanpy,def,60
phanpy,spatk,40
phanpy,spdef,40
phanpy,spe,40
donphan,hp,90
donphan,atk,120
donphan,def,120
donphan,spatk,60
donphan,spdef,60
donphan,spe,50
porygon2,hp,85
porygon2,atk,80
porygon2,def,90
porygon2,spatk,105
porygon2,spdef,95
porygon2,spe,60
stantler,hp,73
stantler,atk,95
stantler,def,62
stantler,spatk,85
stantler,spdef,65
stantler,spe,85
smeargle,hp,55
smeargle,atk,20
smeargle,def,35
smeargle,spatk,20
smeargle,spdef,45
smeargle,spe,75
tyrogue,hp,35
tyrogue,atk,35
tyrogue,def,35
tyrogue,spatk,35
tyrogue,spdef,35
tyrogue,spe,35
hitmontop,hp,50
hitmontop,atk,95
hitmontop,def,95
hitmontop,spatk,35
hitmontop,spdef,110
hitmontop,spe,70
smoochum,hp,45
smoochum,atk,30
smoochum,def,15
smoochum,spatk,85
smoochum,spdef,65
smoochum,spe,65
elekid,hp,45
elekid,atk,63
elekid,def,37
elekid,spatk,65
elekid,spdef,55
elekid,spe,95
magby,hp,45
magby,atk,75
magby,def,37
magby,spatk,70
magby,spdef,55
magby,spe,83
miltank,hp,95
miltank,atk,80
miltank,def,105
miltank,spatk,40
miltank,spdef,70
miltank,spe,100
blissey,hp,255
blissey,atk,10
blissey,def,10
blissey,spatk,75
blissey,spdef,135
blissey,spe,55
raikou,hp,90
raikou,atk,85
raikou,def,75
raikou,spatk,115
raikou,spdef,100
raikou,spe,115
entei,hp,115
entei,atk,115
entei,def,85
entei,spatk,90
entei,spdef,75
entei,spe,100
suicune,hp,100
suicune,atk,75
suicune,def,115
suicune,spatk,90
suicune,spdef,115
suicune,spe,85
larvitar,hp,50
larvitar,atk,64
larvitar,def,50
larvitar,spatk,45
larvitar,spdef,50
larvitar,spe,41
pupitar,hp,70
pupitar,atk,84
pupitar,def,70
pupitar,spatk,65
pupitar,spdef,70
pupitar,spe,51
tyranitar,hp,100
tyranitar,atk,134
tyranitar,def,110
tyranitar,spatk,95
tyranitar,spdef,100
tyranitar,spe,61
tyranitar-mega,hp,100
tyranitar-mega,atk,164
tyranitar-mega,def,150
tyranitar-mega,spatk,95
tyranitar-mega,spdef,120
tyranitar-mega,spe,71
lugia,hp,106
lugia,atk,90
lugia,def,130
lugia,spatk,90
lugia,spdef,154
lugia,spe,110
ho-oh,hp,106
ho-oh,atk,130
ho-oh,def,90
ho-oh,spatk,110
ho-oh,spdef,154
ho-oh,spe,90
celebi,hp,100
celebi,atk,100
celebi,def,100
celebi,spatk,100
celebi,spdef,100
celebi,spe,100
treecko,hp,40
treecko,atk,45
treecko,def,35
treecko,spatk,65
treecko,spdef,55
treecko,spe,70
grovyle,hp,50
grovyle,atk,65
grovyle,def,45
grovyle,spatk,85
grovyle,spdef,65
grovyle,spe,95
sceptile,hp,70
sceptile,atk,85
sceptile,def,65
sceptile,spatk,105
sceptile,spdef,85
sceptile,spe,120
sceptile-mega,hp,70
sceptile-mega,atk,110
sceptile-mega,def,75
sceptile-mega,spatk,145
sceptile-mega,spdef,85
sceptile-mega,spe,145
torchic,hp,45
torchic,atk,60
torchic,def,40
torchic,spatk,70
torchic,spdef,50
torchic,spe,45
combusken,hp,60
combusken,atk,85
combusken,def,60
combusken,spatk,85
combusken,spdef,60
combusken,spe,55
blaziken,hp,80
blaziken,atk,120
blaziken,def,70
blaziken,spatk,110
blaziken,spdef,70
blaziken,spe,80
blaziken-mega,hp,80
blaziken-mega,atk,160
blaziken-mega,def,80
blaziken-mega,spatk,130
blaziken-mega,spdef,80
blaziken-mega,spe,100
mudkip,hp,50
mudkip,atk,70
mudkip,def,50
mudkip,spatk,50
mudkip,spdef,50
mudkip,spe,40
marshtomp,hp,70
marshtomp,atk,85
marshtomp,def,70
marshtomp,spatk,60
marshtomp,spdef,70
marshtomp,spe,50
swampert,hp,100
swampert,atk,110
swampert,def,90
swampert,spatk,85
swampert,spdef,90
swampert,spe,60
swampert-mega,hp,100
swampert-mega,atk,150
swampert-mega,def,110
swampert-mega,spatk,95
swampert-mega,spdef,110
swampert-mega,spe,70
poochyena,hp,35
poochyena,atk,55
poochyena,def,35
poochyena,spatk,30
poochyena,spdef,30
poochyena,spe,35
mightyena,hp,70
mightyena,atk,90
mightyena,def,70
mightyena,spatk,60
mightyena,spdef,60
mightyena,spe,70
zigzagoon,hp,38
zigzagoon,atk,30
zigzagoon,def,41
zigzagoon,spatk,30
zigzagoon,spdef,41
zigzagoon,spe,60
zigzagoon-galar,hp,38
zigzagoon-galar,atk,30
zigzagoon-galar,def,41
zigzagoon-galar,spatk,30
zigzagoon-galar,spdef,41
zigzagoon-galar,spe,60
linoone,hp,78
linoone,atk,70
linoone,def,61
linoone,spatk,50
linoone,spdef,61
linoone,spe,100
linoone-galar,hp,78
linoone-galar,atk,70
linoone-galar,def,61
linoone-galar,spatk,50
linoone-galar,spdef,61
linoone-galar,spe,100
wurmple,hp,45
wurmple,atk,45
wurmple,def,35
wurmple,spatk,20
wurmple,spdef,30
wurmple,spe,20
silcoon,hp,50
silcoon,atk,35
silcoon,def,55
silcoon,spatk,25
silcoon,spdef,25
silcoon,spe,15
beautifly,hp,60
beautifly,atk,70
beautifly,def,50
beautifly,spatk,100
beautifly,spdef,50
beautifly,spe,65
cascoon,hp,50
cascoon,atk,35
cascoon,def,55
cascoon,spatk,25
cascoon,spdef,25
cascoon,spe,15
dustox,hp,60
dustox,atk,50
dustox,def,70
dustox,spatk,50
dustox,spdef,90
dustox,spe,65
lotad,hp,40
lotad,atk,30
lotad,def,30
lotad,spatk,40
lotad,spdef,50
lotad,spe,30
lombre,hp,60
lombre,atk,50
lombre,def,50
lombre,spatk,60
lombre,spdef,70
lombre,spe,50
ludicolo,hp,80
ludicolo,atk,70
ludicolo,def,70
ludicolo,spatk,90
ludicolo,spdef,100
ludicolo,spe,70
seedot,hp,40
seedot,atk,40
seedot,def,50
seedot,spatk,30
seedot,spdef,30
seedot,spe,30
nuzleaf,hp,70
nuzleaf,atk,70
nuzleaf,def,40
nuzleaf,spatk,60
nuzleaf,spdef,40
nuzleaf,spe,60
shiftry,hp,90
shiftry,atk,100
shiftry,def,60
shiftry,spatk,90
shiftry,spdef,60
shiftry,spe,80
taillow,hp,40
taillow,atk,55
taillow,def,30
taillow,spatk,30
taillow,spdef,30
taillow,spe,85
swellow,hp,60
swellow,atk,85
swellow,def,60
swellow,spatk,75
swellow,spdef,50
swellow,spe,125
wingull,hp,40
wingull,atk,30
wingull,def,30
wingull,spatk,55
wingull,spdef,30
wingull,spe,85
pelipper,hp,60
pelipper,atk,50
pelipper,def,100
pelipper,spatk,95
pelipper,spdef,70
pelipper,spe,65
ralts,hp,28
ralts,atk,25
ralts,def,25
ralts,spatk,45
ralts,spdef,35
ralts,spe,40
kirlia,hp,38
kirlia,atk,35
kirlia,def,35
kirlia,spatk,65
kirlia,spdef,55
kirlia,spe,50
gardevoir,hp,68
gardevoir,atk,65
gardevoir,def,65
gardevoir,spatk,125
gardevoir,spdef,115
gardevoir,spe,80
gardevoir-mega,hp,68
gardevoir-mega,atk,85
gardevoir-mega,def,65
gardevoir-mega,spatk,165
gardevoir-mega,spdef,135
gardevoir-mega,spe,100
surskit,hp,40
surskit,atk,30
surskit,def,32
surskit,spatk,50
surskit,spdef,52
surskit,spe,65
masquerain,hp,70
masquerain,atk,60
masquerain,def,62
masquerain,spatk,100
masquerain,spdef,82
masquerain,spe,80
shroomish,hp,60
shroomish,atk,40
shroomish,def,60
shroomish,spatk,40
shroomish,spdef,60
shroomish,spe,35
breloom,hp,60
breloom,atk,130
breloom,def,80
breloom,spatk,60
breloom,spdef,60
breloom,spe,70
slakoth,hp,60
slakoth,atk,60
slakoth,def,60
slakoth,spatk,35
slakoth,spdef,35
slakoth,spe,30
vigoroth,hp,80
vigoroth,atk,80
vigoroth,def,80
vigoroth,spatk,55
vigoroth,spdef,55
vigoroth,spe,90
slaking,hp,150
slaking,atk,160
slaking,def,100
slaking,spatk,95
slaking,spdef,65
slaking,spe,100
nincada,hp,31
nincada,atk,45
nincada,def,90
nincada,spatk,30
nincada,spdef,30
nincada,spe,40
ninjask,hp,61
ninjask,atk,90
ninjask,def,45
ninjask,spatk,50
ninjask,spdef,50
ninjask,spe,160
shedinja,hp,1
shedinja,atk,90
shedinja,def,45
shedinja,spatk,30
shedinja,spdef,30
shedinja,spe,40
whismur,hp,64
whismur,atk,51
whismur,def,23
whismur,spatk,51
whismur,spdef,23
whismur,spe,28
loudred,hp,84
loudred,atk,71
loudred,def,43
loudred,spatk,71
loudred,spdef,43
loudred,spe,48
exploud,hp,104
exploud,atk,91
exploud,def,63
exploud,spatk,91
exploud,spdef,73
exploud,spe,68
makuhita,hp,72
makuhita,atk,60
makuhita,def,30
makuhita,spatk,20
makuhita,spdef,30
makuhita,spe,25
hariyama,hp,144
hariyama,atk,120
hariyama,def,60
hariyama,spatk,40
hariyama,spdef,60
hariyama,spe,50
azurill,hp,50
azurill,atk,20
azurill,def,40
azurill,spatk,20
azurill,spdef,40
azurill,spe,20
nosepass,hp,30
nosepass,atk,45
nosepass,def,135
nosepass,spatk,45
nosepass,spdef,90
nosepass,spe,30
skitty,hp,50
skitty,atk,45
skitty,def,45
skitty,spatk,35
skitty,spdef,35
skitty,spe,50
delcatty,hp,70
delcatty,atk,65
delcatty,def,65
delcatty,spatk,55
delcatty,spdef,55
delcatty,spe,90
sableye,hp,50
sableye,atk,75
sableye,def,75
sableye,spatk,65
sableye,spdef,65
sableye,spe,50
sableye-mega,hp,50
sableye-mega,atk,85
sableye-mega,def,125
sableye-mega,spatk,85
sableye-mega,spdef,115
sableye-mega,spe,20
mawile,hp,50
mawile,atk,85
mawile,def,85
mawile,spatk,55
mawile,spdef,55
mawile,spe,50
mawile-mega,hp,50
mawile-mega,atk,105
mawile-mega,def,125
mawile-mega,spatk,55
mawile-mega,spdef,95
mawile-mega,spe,50
aron,hp,50
aron,atk,70
aron,def,100
aron,spatk,40
aron,spdef,40
aron,spe,30
lairon,hp,60
lairon,atk,90
lairon,def,140
lairon,spatk,50
lairon,spdef,50
lairon,spe,40
aggron,hp,70
aggron,atk,110
aggron,def,180
aggron,spatk,60
aggron,spdef,60
aggron,spe,50
aggron-mega,hp,70
aggron-mega,atk,140
aggron-mega,def,230
aggron-mega,spatk,60
aggron-mega,spdef,80
aggron-mega,spe,50
meditite,hp,30
meditite,atk,40
meditite,def,55
meditite,spatk,40
meditite,spdef,55
meditite,spe,60
medicham,hp,60
medicham,atk,60
medicham,def,75
medicham,spatk,60
medicham,spdef,75
medicham,spe,80
medicham-mega,hp,60
medicham-mega,atk,100
medicham-mega,def,85
medicham-mega,spatk,80
medicham-mega,spdef,85
medicham-mega,spe,100
electrike,hp,40
electrike,atk,45
electrike,def,40
electrike,spatk,65
electrike,spdef,40
electrike,spe,65
manectric,hp,70
manectric,atk,75
manectric,def,60
manectric,spatk,105
manectric,spdef,60
manectric,spe,105
manectric-mega,hp,70
manectric-mega,atk,75
manectric-mega,def,80
manectric-mega,spatk,135
manectric-mega,spdef,80
manectric-mega,spe,135
plusle,hp,60
plusle,atk,50
plusle,def,40
plusle,spatk,85
plusle,spdef,75
plusle,spe,95
minun,hp,60
minun,atk,40
minun,def,50
minun,spatk,75
minun,spdef,85
minun,spe,95
volbeat,hp,65
volbeat,atk,73
volbeat,def,75
volbeat,spatk,47
volbeat,spdef,85
volbeat,spe,85
illumise,hp,65
illumise,atk,47
illumise,def,75
illumise,spatk,73
illumise,spdef,85
illumise,spe,85
roselia,hp,50
roselia,atk,60
roselia,def,45
roselia,spatk,100
roselia,spdef,80
roselia,spe,65
gulpin,hp,70
gulpin,atk,43
gulpin,def,53
gulpin,spatk,43
gulpin,spdef,53
gulpin,spe,40
swalot,hp,100
swalot,atk,73
swalot,def,83
swalot,spatk,73
swalot,spdef,83
swalot,spe,55
carvanha,hp,45
carvanha,atk,90
carvanha,def,20
carvanha,spatk,65
carvanha,spdef,20
carvanha,spe,65
sharpedo,hp,70
sharpedo,atk,120
sharpedo,def,40
sharpedo,spatk,95
sharpedo,spdef,40
sharpedo,spe,95
sharpedo-mega,hp,70
sharpedo-mega,atk,140
sharpedo-mega,def,70
sharpedo-mega,spatk,110
