identifier,name,value,pocket,flavor_text
leek,Leek,1000,Items,An item to be held by Farfetch’d. This very long and stiff stalk of leek boosts its critical-hit ratio.
red-scarf,Red Scarf,100,Items,"An item to be held by a Pokémon. During a contest, it raises the Cool aspect of the Pokémon holding it."
blue-scarf,Blue Scarf,100,Items,"An item to be held by a Pokémon. During a contest, it raises the Beauty aspect of the Pokémon holding it."
pink-scarf,Pink Scarf,100,Items,"An item to be held by a Pokémon. During a contest, it raises the Cute aspect of the Pokémon holding it."
green-scarf,Green Scarf,100,Items,"An item to be held by a Pokémon. During a contest, it raises the Clever aspect of the Pokémon holding it."
yellow-scarf,Yellow Scarf,100,Items,"An item to be held by a Pokémon. During a contest, it raises the Tough aspect of the Pokémon holding it."
wide-lens,Wide Lens,4000,Items,An item to be held by a Pokémon. It’s a magnifying lens that slightly boosts the accuracy of moves.
muscle-band,Muscle Band,4000,Items,"An item to be held by a Pokémon. This headband exudes strength, slightly boosting the power of physical moves."
wise-glasses,Wise Glasses,4000,Items,An item to be held by a Pokémon. This thick pair of glasses slightly boosts the power of special moves.
expert-belt,Expert Belt,4000,Items,An item to be held by a Pokémon. It’s a well-worn belt that slightly boosts the power of supereffective moves.
light-clay,Light Clay,4000,Items,An item to be held by a Pokémon. Protective moves like Light Screen and Reflect will be effective longer.
life-orb,Life Orb,4000,Items,"An item to be held by a Pokémon. It boosts the power of moves, but at the cost of some HP on each hit."
power-herb,Power Herb,4000,Items,A single-use item to be held by a Pokémon. It allows the holder to immediately use a move that normally requires a turn to charge.
toxic-orb,Toxic Orb,4000,Items,An item to be held by a Pokémon. It’s a bizarre orb that will badly poison the holder during battle.
flame-orb,Flame Orb,4000,Items,An item to be held by a Pokémon. It’s a bizarre orb that will afflict the holder with a burn during battle.
quick-powder,Quick Powder,1000,Items,"An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Speed stat."
focus-sash,Focus Sash,4000,Items,"An item to be held by a Pokémon. If the holder has full HP, it will endure a potential KO attack with 1 HP. The item then disappears."
zoom-lens,Zoom Lens,4000,Items,"An item to be held by a Pokémon. If the holder moves after its target moves, its accuracy will be boosted."
metronome,Metronome,4000,Items,"An item to be held by a Pokémon. It boosts moves used consecutively, but only until a different move is used."
iron-ball,Iron Ball,4000,Items,An item to be held by a Pokémon. It lowers Speed and allows Ground-type moves to hit Flying-type and levitating holders.
lagging-tail,Lagging Tail,4000,Items,An item to be held by a Pokémon. It is tremendously heavy and makes the holder move slower than usual.
destiny-knot,Destiny Knot,4000,Items,"An item to be held by a Pokémon. If the holder becomes infatuated, the opposing Pokémon will be, too."
black-sludge,Black Sludge,4000,Items,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.
icy-rock,Icy Rock,4000,Items,An item to be held by a Pokémon. It extends the duration of the move Hail when used by the holder.
smooth-rock,Smooth Rock,4000,Items,An item to be held by a Pokémon. It extends the duration of the move Sandstorm when used by the holder.
heat-rock,Heat Rock,4000,Items,An item to be held by a Pokémon. It extends the duration of the move Sunny Day when used by the holder.
damp-rock,Damp Rock,4000,Items,An item to be held by a Pokémon. It extends the duration of the move Rain Dance when used by the holder.
grip-claw,Grip Claw,4000,Items,An item to be held by a Pokémon. It extends the duration of multi-turn attacks like Bind and Wrap.
choice-scarf,Choice Scarf,4000,Items,An item to be held by a Pokémon. This curious scarf boosts Speed but only allows the use of one move.
sticky-barb,Sticky Barb,4000,Items,An item to be held by a Pokémon. It damages the holder every turn and may latch on to Pokémon that touch the holder.
power-bracer,Power Bracer,3000,Items,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Attack stat to grow more after battling.
power-belt,Power Belt,3000,Items,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Defense stat to grow more after battling.
power-lens,Power Lens,3000,Items,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Sp. Atk stat to grow more after battling.
power-band,Power Band,3000,Items,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Sp. Def stat to grow more after battling.
power-anklet,Power Anklet,3000,Items,An item to be held by a Pokémon. It reduces Speed but allows the holder’s Speed stat to grow more after battling.
power-weight,Power Weight,3000,Items,An item to be held by a Pokémon. It reduces Speed but allows the holder’s maximum HP to grow more after battling.
shed-shell,Shed Shell,4000,Items,An item to be held by a Pokémon. This discarded carapace enables the holder to switch out of battle without fail.
big-root,Big Root,4000,Items,An item to be held by a Pokémon. It boosts the amount of HP the holder recovers from  HP-stealing moves.
choice-specs,Choice Specs,4000,Items,An item to be held by a Pokémon. These curious glasses boost Sp. Atk but only allow the use of one move.
flame-plate,Flame Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Fire-type moves.
splash-plate,Splash Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Water-type moves.
zap-plate,Zap Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Electric-type moves.
meadow-plate,Meadow Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Grass-type moves.
icicle-plate,Icicle Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ice-type moves.
fist-plate,Fist Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Fighting-type moves.
toxic-plate,Toxic Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Poison-type moves.
earth-plate,Earth Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ground-type moves.
sky-plate,Sky Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Flying-type moves.
mind-plate,Mind Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Psychic-type moves.
insect-plate,Insect Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Bug-type moves.
stone-plate,Stone Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Rock-type moves.
spooky-plate,Spooky Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Ghost-type moves.
draco-plate,Draco Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Dragon-type moves.
dread-plate,Dread Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Dark-type moves.
iron-plate,Iron Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Steel-type moves.
odd-incense,Odd Incense,2000,Items,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Psychic-type moves.
rock-incense,Rock Incense,2000,Items,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Rock-type moves.
full-incense,Full Incense,5000,Items,An item to be held by a Pokémon. This exotic-smelling incense makes the holder bloated and slow moving.
wave-incense,Wave Incense,2000,Items,An item to be held by a Pokémon. This incense has a curious aroma that boosts the power of Water-type moves.
rose-incense,Rose Incense,2000,Items,An item to be held by a Pokémon. This exotic-smelling incense boosts the power of Grass-type moves.
luck-incense,Luck Incense,11000,Items,An item to be held by a Pokémon. It doubles any prize money received if the holding Pokémon joins a battle.
pure-incense,Pure Incense,6000,Items,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the head of the party.
protector,Protector,2000,Items,A protective item of some sort. It is extremely stiff and heavy. It’s loved by a certain Pokémon.
electirizer,Electirizer,2000,Items,A box packed with a tremendous amount of electric energy. It’s loved by a certain Pokémon.
magmarizer,Magmarizer,2000,Items,A box packed with a tremendous amount of magma energy. It’s loved by a certain Pokémon.
dubious-disc,Dubious Disc,2000,Items,A transparent device overflowing with dubious data. Its producer is unknown.
reaper-cloth,Reaper Cloth,2000,Items,A cloth imbued with horrifyingly strong spiritual energy. It’s loved by a certain Pokémon.
razor-claw,Razor Claw,5000,Items,An item to be held by a Pokémon. This sharply hooked claw increases the holder’s critical-hit ratio.
razor-fang,Razor Fang,5000,Items,"An item to be held by a Pokémon. When the holder successfully inflicts damage, the target may also flinch."
hm01,HM01,0,TMs and HMs,The target is cut with a scythe or claw. This can also be used to cut down thin trees.
hm02,HM02,0,TMs and HMs,The user soars and then strikes its target on the next turn. This can also be used to fly to any familiar town.
hm03,HM03,0,TMs and HMs,The user attacks everything around it by swamping its surroundings with a giant wave.
hm04,HM04,0,TMs and HMs,The target is slugged with a punch thrown at maximum power. This can also be used to move heavy boulders.
hm05,HM05,0,TMs and HMs,The user charges at the target and may make it flinch. This can also be used to climb a waterfall.
hm06,HM06,0,TMs and HMs,The user attacks with a punch. This may also lower the target’s Defense stat. This move can also shatter rocks in the field.
hm07,HM07,0,TMs and HMs,"Diving on the first turn, the user floats up and attacks on the next turn."
hm08,HM08,0,TMs and HMs,A charging attack that may also leave the foe confused. It can also be used to scale rocky walls.
explorer-kit,Explorer Kit,0,Key Items,A bag filled with convenient tools for exploring. It provides access to the Underground in the Sinnoh region.
loot-sack,Loot Sack,0,Key Items,"A sturdy, spacious bag that is used to carry any treasures or loot obtained in the coal mine."
rule-book,Rule Book,0,Key Items,"It lists the rules for holding battles. For Link Battles, you may choose which set of rules you wish to use."
poke-radar,Poké Radar,0,Key Items,A tool that can search out Pokémon that are hiding in the tall grass. Its battery is recharged as you walk.
point-card,Point Card,0,Key Items,A card that lists how many Battle Points you have earned.
journal,Journal,0,Key Items,A notebook that keeps a day-to-day record of your adventure so far.
seal-case,Seal Case,0,Key Items,A case for storing Seals that can be applied to the exteriors of Poké Balls.
fashion-case,Fashion Case,0,Key Items,A lovely case to store colorful Props for your Pokémon to wear in a musical.
seal-bag,Seal Bag,0,Key Items,A tiny bag that can hold 10 Seals for decorating Poké Balls.
pal-pad,Pal Pad,0,Key Items,A convenient notepad that is used to register your Friends and friend codes and keep a record of your gameplay.
works-key,Works Key,0,Key Items,A large key for operating the doors of the Valley Windworks in the canyon. It was held by a Team Galactic Grunt.
old-charm,Old Charm,0,Key Items,An ancient good-luck charm made of Pokémon bones to be taken to the elder of Celestic Town.
galactic-key,Galactic Key,0,Key Items,"A card key for disengaging the security systems in the Galactic HQ. Losing it can result in punishment, apparently."
red-chain,Red Chain,0,Key Items,A mythical chain that is said to link the Legendary Pokémon that created the Sinnoh region.
town-map,Town Map,0,Key Items,A very convenient map that can be viewed anytime. It even shows you your present location in the region.
vs-seeker,Vs. Seeker,0,Key Items,A device that indicates Trainers who want to battle. Its battery charges while you walk.
coin-case,Coin Case,0,Key Items,"A case for holding coins obtained at the Game Corner. It can hold up to 50,000 coins."
old-rod,Old Rod,0,Key Items,An old and beat-up fishing rod. Use it at any body of water to fish for wild aquatic Pokémon.
good-rod,Good Rod,0,Key Items,"A new, good-quality fishing rod. Use it at any body of water to fish for wild aquatic Pokémon."
super-rod,Super Rod,0,Key Items,"An awesome, high-tech fishing rod. Use it at any body of water to fish for wild aquatic Pokémon."
sprayduck,Sprayduck,0,Key Items,"A watering can shaped like a Psyduck. It helps promote the healthy growth of any Berries planted in good, soft soil."
poffin-case,Poffin Case,0,Key Items,A case for storing Poffins cooked from Berries.
bicycle,Bicycle,0,Key Items,A folding Bicycle that enables a rider to get around much faster than a pair of Running Shoes will allow.
suite-key,Suite Key,0,Key Items,"A key to one of the suites at a certain luxury hotel by a lake. For some odd reason, it often disappears."
oaks-letter,Oak’s Letter,0,Key Items,A letter from Professor Oak. Written in it is a request for you to go to Route 224.
lunar-wing,Lunar Wing,0,Key Items,A feather that glows like the moon. It’s said to possess the power to dispel nightmares.
member-card,Member Card,0,Key Items,"A card needed for entering the inn in Canalave City. Oddly, the last date marked on it was 50 years ago."
azure-flute,Azure Flute,0,Key Items,A flute that puts out echoing sounds that do not seem to be of this world. No one knows who made it.
ss-ticket,S.S. Ticket,0,Key Items,A ticket required for sailing on the ferry S.S. Aqua. It has a drawing of a ship on its front.
contest-pass,Contest Pass,0,Key Items,A pass required for entering Pokémon Contests. It has a drawing of an award ribbon on its front.
magma-stone,Magma Stone,0,Key Items,"A stone formed by boulders melting in intensely hot magma, then hardening. Magma remains sealed inside it."
parcel,Parcel,0,Key Items,A parcel entrusted into your care. You’re supposed to deliver it to your childhood friend who left Twinleaf Town.
coupon-1,Coupon 1,0,Key Items,A coupon to be exchanged for a Pokémon Watch— Pokétch for short. Three coupons are needed.
coupon-2,Coupon 2,0,Key Items,A coupon to be exchanged for a Pokémon Watch— Pokétch for short. Three coupons are needed.
coupon-3,Coupon 3,0,Key Items,A coupon to be exchanged for a Pokémon Watch— Pokétch for short. Three coupons are needed.
storage-key,Storage Key,0,Key Items,The key to Team Galactic’s sinister warehouse located at the edge of Veilstone City.
secret-potion,Secret Potion,0,Key Items,A fantastic medicine dispensed by the pharmacy in Cianwood City. It fully heals a Pokémon of any ailment.
griseous-orb,Griseous Orb,0,Items,A glowing orb to be held by Giratina. It boosts the power of Dragon- and Ghost-type moves when it is held.
vs-recorder,Vs. Recorder,0,Key Items,An amazing device that can record a battle between friends or the battles at certain special battle facilities.
gracidea,Gracidea,0,Key Items,A flower sometimes bundled in bouquets to convey gratitude on special occasions like birthdays.
secret-key,Secret Key,0,Key Items,A high-tech key that has to be used at a specific location. It emits a special electronic signal to open a door.
apricorn-box,Apricorn Box,0,Key Items,A handy box where you can store up to 99 of each kind of Apricorn.
berry-pots,Berry Pots,0,Key Items,Handy containers for cultivating Berries wherever you go.
squirt-bottle,Squirt Bottle,0,Key Items,A bottle used for watering plants in the Berry Pots.
lure-ball,Lure Ball,0,Poké Balls,A Poké Ball that is good for catching Pokémon that you reel in with a rod while out fishing.
level-ball,Level Ball,0,Poké Balls,A Poké Ball that makes it easier to catch Pokémon that are at a lower level than your own Pokémon.
moon-ball,Moon Ball,0,Poké Balls,A Poké Ball that will make it easier to catch Pokémon that can evolve using a Moon Stone.
heavy-ball,Heavy Ball,0,Poké Balls,A Poké Ball that is better than usual at catching very heavy Pokémon.
fast-ball,Fast Ball,0,Poké Balls,A Poké Ball that makes it easier to catch Pokémon that are usually very quick to run away.
friend-ball,Friend Ball,0,Poké Balls,A strange Poké Ball that will make the wild Pokémon caught with it more friendly toward you immediately.
love-ball,Love Ball,0,Poké Balls,A Poké Ball that works best when catching a Pokémon that is of the opposite gender of your Pokémon.
park-ball,Park Ball,0,Poké Balls,A special Poké Ball for the Pal Park.
sport-ball,Sport Ball,300,Poké Balls,A special Poké Ball that is used during the Bug-Catching Contest.
red-apricorn,Red Apricorn,20,Key Items,A red Apricorn. It assails your nostrils.
blue-apricorn,Blue Apricorn,20,Key Items,A blue Apricorn. It smells a bit like grass.
yellow-apricorn,Yellow Apricorn,20,Key Items,A yellow Apricorn. It has an invigorating scent.
green-apricorn,Green Apricorn,20,Key Items,"A green Apricorn. It has a mysterious, aromatic scent."
pink-apricorn,Pink Apricorn,20,Key Items,"A pink Apricorn. It has a nice, sweet scent."
white-apricorn,White Apricorn,20,Key Items,A white Apricorn. It doesn’t smell like anything.
black-apricorn,Black Apricorn,20,Key Items,A black Apricorn. It has a scent beyond one’s experience.
dowsing-machine,Dowsing Machine,0,Key Items,This high-tech machine shows the location of invisible items. It’s attached to the head when in use.
rage-candy-bar,Rage Candy Bar,350,Key Items,Mahogany Town’s famous candy. It can be used once to heal all the status conditions of a Pokémon.
red-orb,Red Orb,0,Key Items,A shiny red orb that is said to have a legend tied to it. It’s known to have a deep connection with the Hoenn region.
blue-orb,Blue Orb,0,Key Items,A shiny blue orb that is said to have a legend tied to it. It’s known to have a deep connection with the Hoenn region.
jade-orb,Jade Orb,0,Key Items,A shiny green orb that is said to have a legend tied to it. It’s known to have a deep connection with the Hoenn region.
enigma-stone,Enigma Stone,0,Key Items,A crystal ball that was excavated from the ground. It’s a very beautiful stone that is covered with bits of rock and earth.
unown-report,Unown Report,0,Key Items,A report of all the discovered kinds of Unown.
blue-card,Blue Card,0,Key Items,A card to save points for the Buena’s Password show.
slowpoke-tail,Slowpoke Tail,0,Key Items,A very tasty tail of something. It can be sold at a high price to shops.
clear-bell,Clear Bell,0,Key Items,A very old-fashioned bell that makes a gentle ringing sound.
card-key,Card Key,0,Key Items,A card key that opens a shutter in the Radio Tower.
basement-key,Basement Key,0,Key Items,A key that opens a door in the Goldenrod Tunnel.
red-scale,Red Scale,0,Key Items,A scale from a red Gyarados. It glows red like a flame.
lost-item,Lost Item,0,Key Items,The Mime Jr. doll that was lost by the Copycat.
pass,Pass,0,Key Items,A pass required for riding the Magnet Train. It allows you to ride whenever and however much you’d like.
machine-part,Machine Part,0,Key Items,An important part of a machine that was stolen from the Power Plant.
silver-wing,Silver Wing,0,Key Items,"A strange, silvery feather that sparkles."
rainbow-wing,Rainbow Wing,0,Key Items,A mystical rainbow feather that sparkles.
mystery-egg,Mystery Egg,0,Key Items,A mysterious Egg obtained from Mr. Pokémon. What is in the Egg is unknown.
gb-sounds,GB Sounds,0,Key Items,A music player that allows you to listen to nostalgic songs. It’s operated with the flip of a single switch.
tidal-bell,Tidal Bell,0,Key Items,A very old-fashioned bell that makes a gentle ringing sound.
data-card-01,Data Card 01,0,Key Items,It holds Pokéathlon records. It is a card that shows how many victories you have had in the Pokéathlon.
data-card-02,Data Card 02,0,Key Items,It holds Pokéathlon records. It is a card that shows how many losses you have had in the Pokéathlon.
data-card-03,Data Card 03,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times your Pokémon dashed in the Pokéathlon.
data-card-04,Data Card 04,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times your Pokémon jumped in the Pokéathlon.
data-card-05,Data Card 05,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Hurdle Dash.
data-card-06,Data Card 06,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Relay Run.
data-card-07,Data Card 07,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Pennant Capture.
data-card-08,Data Card 08,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Block Smash.
data-card-09,Data Card 09,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Disc Catch.
data-card-10,Data Card 10,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Snow Throw.
data-card-11,Data Card 11,0,Key Items,It holds Pokéathlon records. It is a card that shows how many points your Pokémon scored in the Pokéathlon.
data-card-12,Data Card 12,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times your Pokémon failed in the Pokéathlon.
data-card-13,Data Card 13,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times your Pokémon impeded themselves.
data-card-14,Data Card 14,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times your Pokémon tackled in the Pokéathlon.
data-card-15,Data Card 15,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times your Pokémon fell down in the Pokéathlon.
data-card-16,Data Card 16,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Ring Drop.
data-card-17,Data Card 17,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Lamp Jump.
data-card-18,Data Card 18,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Circle Push.
data-card-19,Data Card 19,0,Key Items,It holds Pokéathlon records. It is a card that shows how many Link Pokéathlon wins you have had.
data-card-20,Data Card 20,0,Key Items,It holds Pokéathlon records. It is a card that shows how many Link Pokéathlon losses you have had.
data-card-21,Data Card 21,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you have won a Pokéathlon event.
data-card-22,Data Card 22,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you have lost a Pokéathlon event.
data-card-23,Data Card 23,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you switched Pokémon in the Pokéathlon.
data-card-24,Data Card 24,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you won the Pokéathlon’s Goal Roll.
data-card-25,Data Card 25,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times your Pokémon won individual prizes.
data-card-26,Data Card 26,0,Key Items,It holds Pokéathlon records. It is a card that shows how many times you instructed your Pokémon.
data-card-27,Data Card 27,0,Key Items,It holds Pokéathlon records. It is a card that shows how much time you spent participating in the Pokéathlon.
lock-capsule,Lock Capsule,0,Key Items,A sturdy Capsule that can only be opened with a special key.
photo-album,Photo Album,0,Key Items,A nice photo album for storing all the photos taken along your adventure.
orange-mail,Orange Mail,50,Mail,A piece of MAIL featuring a cute ZIGZAGOON print. It is to be held by a POKéMON.
harbor-mail,Harbor Mail,50,Mail,A piece of MAIL featuring a cute WINGULL print. It is to be held by a POKéMON.
glitter-mail,Glitter Mail,50,Mail,A piece of MAIL featuring a cute PIKACHU print. It is to be held by a POKéMON.
mech-mail,Mech Mail,50,Mail,A piece of MAIL featuring a cute MAGNEMITE print. It is to be held by a POKéMON.
wood-mail,Wood Mail,50,Mail,A piece of MAIL featuring a cute SLAKOTH print. It is to be held by a POKéMON.
wave-mail,Wave Mail,50,Mail,A piece of MAIL featuring a cute WAILMER print. It is to be held by a POKéMON.
bead-mail,Bead Mail,50,Mail,A piece of MAIL to be held by a POKéMON. It will bear the print of the POKéMON holding it.
shadow-mail,Shadow Mail,50,Mail,A piece of MAIL featuring a cute DUSKULL print. It is to be held by a POKéMON.
tropic-mail,Tropic Mail,50,Mail,A piece of MAIL featuring a cute BELLOSSOM print. It is to be held by a POKéMON.
dream-mail,Dream Mail,50,Mail,A piece of MAIL to be held by a POKéMON. It will bear the print of the POKéMON holding it.
fab-mail,Fab Mail,50,Mail,"A piece of MAIL featuring a gorgeous, extravagant print. It is to be held by a POKéMON."
retro-mail,Retro Mail,0,Mail,A piece of MAIL featuring a print of three cute POKéMON. It is to be held by a POKéMON.
mach-bike,Mach Bike,0,Key Items,This folding Bike more than doubles your movement speed.
acro-bike,Acro Bike,0,Key Items,This folding Bike allows you to perform actions such as wheelies and bunny hops.
wailmer-pail,Wailmer Pail,0,Key Items,This is a tool for watering Berries you planted to make them grow more quickly.
devon-goods,Devon Goods,0,Key Items,A package that contains mechanical parts of some sort made by the DEVON CORPORATION.
soot-sack,Soot Sack,0,Key Items,A sack used to gather and hold volcanic ash.
pokeblock-case,Pokéblock Case,0,Key Items,A case for holding POKéBLOCKS made with a BERRY BLENDER. It releases one POKéBLOCK when shaken.
letter,Letter,0,Key Items,An extremely important letter to Steven from the President of Devon Corporation.
eon-ticket,Eon Ticket,0,Key Items,"The ticket required for sailing on a ferry to the Southern Island. Does Norman, the Petalburg Gym Leader, know a secret?!"
scanner,Scanner,0,Key Items,A device found inside Sea Mauville.
go-goggles,Go-Goggles,0,Key Items,Nifty goggles to protect eyes from desert sandstorms.
meteorite,Meteorite,0,Key Items,A Meteorite originally found at Meteor Falls. You got it at Mt. Chimney.
rm-1-key,Rm. 1 Key,0,Key Items,A key that opens the door to Room 1 inside the ABANDONED SHIP. It is old and looks easily broken.
rm-2-key,Rm. 2 Key,0,Key Items,A key that opens the door to Room 2 inside the ABANDONED SHIP. It is old and looks easily broken.
rm-4-key,Rm. 4 Key,0,Key Items,A key that opens the door to Room 4 inside the ABANDONED SHIP. It is old and looks easily broken.
rm-6-key,Rm. 6 Key,0,Key Items,A key that opens the door to Room 6 inside the ABANDONED SHIP. It is old and looks easily broken.
devon-scope,Devon Scope,0,Key Items,A special device made by Devon Corporation that signals the presence of any unseen Pokémon.
oaks-parcel,Oak's Parcel,0,Key Items,A parcel to be delivered to PROF. OAK from VIRIDIAN CITY’s POKéMON MART.
poke-flute,Poké Flute,0,Key Items,A flute that can play with such a beautiful tone that even sleeping Pokémon find themselves roused.
bike-voucher,Bike Voucher,0,Key Items,Take this voucher to the BIKE SHOP in CERULEAN CITY and exchange it for a bicycle.
gold-teeth,Gold Teeth,0,Key Items,A set of false teeth lost by the SAFARI ZONE’S WARDEN. It makes his smile sparkle.
lift-key,Lift Key,0,Key Items,A key that operates the elevator in TEAM ROCKET’s HIDEOUT. It bears the TEAM ROCKET logo.
silph-scope,Silph Scope,0,Key Items,A scope that makes unseeable POKéMON visible. It is made by SILPH CO.
fame-checker,Fame Checker,0,Key Items,A device that enables you to recall what you’ve heard and seen about famous people.
tm-case,TM Case,0,Key Items,A case that holds TMs and HMs. It is attached to the BAG’s compartment for important items.
berry-pouch,Berry Pouch,0,Key Items,A pouch for carrying BERRIES. It is attached to the BAG’s compartment for important items.
teachy-tv,Teachy TV,0,Key Items,A television set that is tuned to a program with useful tips for novice TRAINERS.
tri-pass,Tri-Pass,0,Key Items,"A pass for ferries between ONE, TWO, and THREE ISLAND. It has a drawing of three islands."
rainbow-pass,Rainbow Pass,0,Key Items,A pass for ferries between VERMILION and the SEVII ISLANDS. It features a drawing of a rainbow.
tea,Tea,0,Key Items,An aromatic tea prepared by an old lady. It will slake even the worst thirst.
mysticticket,MysticTicket,0,Key Items,A ticket required to board the ship to NAVEL ROCK. It glows with a mystic light.
auroraticket,AuroraTicket,0,Key Items,A ticket required to board the ship to BIRTH ISLAND. It glows beautifully.
powder-jar,Powder Jar,0,Key Items,A jar for storing BERRY POWDER made using a BERRY CRUSHER.
ruby,Ruby,0,Key Items,An exquisitely beautiful gem that has a red glow. It symbolizes passion.
sapphire,Sapphire,0,Key Items,An exquisitely beautiful gem that has a blue glow. It symbolizes honesty.
magma-emblem,Magma Emblem,0,Key Items,A medal-like item in the same shape as TEAM MAGMA’s mark.
old-sea-map,Old Sea Map,0,Key Items,A faded sea chart that shows the way to a certain island.
douse-drive,Douse Drive,0,Items,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Water type.
shock-drive,Shock Drive,0,Items,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Electric type.
burn-drive,Burn Drive,0,Items,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Fire type.
chill-drive,Chill Drive,0,Items,A cassette to be held by Genesect. It changes Genesect’s Techno Blast move so it becomes Ice type.
sweet-heart,Sweet Heart,3000,Medicine,"A piece of cloyingly sweet chocolate. When consumed, it restores 20 HP to an injured Pokémon."
greet-mail,Greet Mail,50,Mail,Stationery designed to be easy to use when writing someone for the first time. Have a Pokémon hold it for delivery.
favored-mail,Favored Mail,50,Mail,Stationery designed to make it easier to write about your favorite things. Have a Pokémon hold it for delivery.
rsvp-mail,RSVP Mail,50,Mail,Stationery designed to allow you to extend an invitation to the recipient. Have a Pokémon hold it for delivery.
thanks-mail,Thanks Mail,50,Mail,Stationery designed to make it easy for you to express thanks. Have a Pokémon hold it for delivery.
inquiry-mail,Inquiry Mail,50,Mail,Stationery designed to make it easier to pose a question about something. Have a Pokémon hold it for delivery.
like-mail,Like Mail,50,Mail,Stationery designed to allow you to recommend something to the reader. Have a Pokémon hold it for delivery.
reply-mail,Reply Mail,50,Mail,Stationery designed to make it easy to respond to a letter you received. Have a Pokémon hold it for delivery.
bridge-mail-s,Bridge Mail S,50,Mail,Stationery featuring an illustration of a bridge that seems to pierce the sky. Have a Pokémon hold it for delivery.
bridge-mail-d,Bridge Mail D,50,Mail,Stationery featuring an illustration of a bright-red drawbridge. Have a Pokémon hold it for delivery.
bridge-mail-t,Bridge Mail T,50,Mail,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
bridge-mail-v,Bridge Mail V,50,Mail,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.
bridge-mail-m,Bridge Mail M,50,Mail,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
prism-scale,Prism Scale,2000,Items,A mysterious scale that causes a certain Pokémon to evolve. It shines in rainbow colors.
eviolite,Eviolite,4000,Items,"A mysterious Evolutionary lump. When held by a Pokémon that can still evolve, it raises both Defense and Sp. Def."
float-stone,Float Stone,4000,Items,An item to be held by a Pokémon. This very light stone reduces the weight of a Pokémon when held.
