pokemon_identifier,entry_number,flavor_text
unown-r,2,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first. "
unown-s,1,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning. "
unown-s,2,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first. "
unown-t,1,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning. "
unown-t,2,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first. "
unown-u,1,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning. "
unown-u,2,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first. "
unown-v,1,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning. "
unown-v,2,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first. "
unown-w,1,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning. "
unown-w,2,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first. "
unown-x,1,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning. "
unown-x,2,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first. "
unown-y,1,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning. "
unown-y,2,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first. "
unown-z,1,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning. "
unown-z,2,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first. "
unown-exclamation,1,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning. "
unown-exclamation,2,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first. "
unown-question,1,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning. "
unown-question,2,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first. "
wobbuffet,1,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike."
wobbuffet,2,"To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack."
girafarig,1,"While it sleeps, the head on its tail keeps watch. The tail doesn’t need to sleep."
girafarig,2,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent by biting."
pineco,1,"Motionless, it hangs from trees, waiting for its bug Pokémon prey to come to it. Its favorite in Alola is Cutiefly."
pineco,2,"It sticks tree bark to itself with its saliva, making itself thicker and larger. Elderly Pineco are ridiculously huge."
forretress,1,"When something approaches it, it fires off fragments of its steel shell in attack. This is not a conscious action but a conditioned reflex."
forretress,2,"In the moment that it gulps down its prey, the inside of its shell is exposed, but to this day, no one has ever seen that sight."
dunsparce,1,This Pokémon’s tiny wings have some scientists saying that Dunsparce used to fly through the sky in ancient times.
dunsparce,2,The nests Dunsparce live in are mazes of tunnels. They never get lost in their own nests—they can tell where they are by the scent of the dirt.
gligar,1,"It usually clings to cliffs. When it spots its prey, it spreads its wings and glides down to attack."
gligar,2,"It flies straight at its target’s face, then clamps down on the startled victim to inject poison."
steelix,1,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like."
steelix,2,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.
steelix-mega,1,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like."
steelix-mega,2,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.
snubbull,1,It grows close to others easily and is also easily spoiled. The disparity between its face and its actions makes many young people wild about it.
snubbull,2,"In contrast to its appearance, it’s quite timid. When playing with other puppy Pokémon, it sometimes gets bullied."
granbull,1,"While it has powerful jaws, it doesn’t care for disputes, so it rarely has a chance to display their might."
granbull,2,"Although it’s popular with young people, Granbull is timid and sensitive, so it’s totally incompetent as a watchdog."
qwilfish,1,"When faced with a larger opponent, it swallows as much water as it can to match the opponent’s size."
qwilfish,2,The small spikes covering its body developed from scales. They inject a toxin that causes fainting.
scizor,1,Bulky pincers account for one third of Scizor’s body weight. A single swing of one of these pincers will crush a boulder completely.
scizor,2,"Though its body is slim, Scizor has tremendous attacking power. Even Scizor’s muscles are made of metal."
scizor-mega,1,"It stores the excess energy from Mega Evolution, so after a long time passes, its body starts to melt. "
scizor-mega,2,"It's better at beating things than grasping them. When it battles for a long time, the weight of its pincers becomes too much to bear. "
shuckle,1,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
shuckle,2,"The berries stored in its vaselike shell eventually become a thick, pulpy juice."
heracross,1,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.
heracross,2,"This Pokémon takes pride in its strength, which allows it to lift things 100 times heavier than itself with no trouble at all."
heracross-mega,1,It can grip things with its two horns and lift 500 times its own body weight. 
heracross-mega,2,"A tremendous influx of energy builds it up, but when Mega Evolution ends, Heracross is bothered by terrible soreness in its muscles. "
sneasel,1,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy."
sneasel,2,"It has a cunning yet savage disposition. It waits for parents to leave their nests, and then it sneaks in to steal their eggs."
teddiursa,1,"If it finds honey, its crescent mark glows. It always licks its paws because they’re soaked with honey."
teddiursa,2,"Before food becomes scarce in wintertime, its habit is to hoard food in many hidden locations."
ursaring,1,"With its ability to distinguish any aroma, it unfailingly finds all food buried deep underground."
ursaring,2,"Although it has a large body, it is quite skilled at climbing trees. It eats and sleeps in the treetops."
slugma,1,"A common sight in volcanic areas, it slowly slithers around in a constant search for warm places."
slugma,2,"Its body is made of magma. If it doesn’t keep moving, its body will cool and harden."
magcargo,1,Its brittle shell occasionally spouts intense flames that circulate throughout its body.
magcargo,2,Its body is as hot as lava and is always billowing. Flames will occasionally burst from its shell.
swinub,1,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
swinub,2,"If it smells something enticing, it dashes off headlong to find the source of the aroma."
piloswine,1,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound."
piloswine,2,"Although its legs are short, its rugged hooves prevent it from slipping, even on icy ground."
corsola,1,It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.
corsola,2,"These Pokémon live in warm seas. In prehistoric times, many lived in the oceans around the Galar region as well."
corsola-galar,1,"Watch your step when wandering areas oceans once covered. What looks like a stone could be this Pokémon, and it will curse you if you kick it. "
corsola-galar,2,Sudden climate change wiped out this ancient kind of Corsola. This Pokémon absorbs others' life-force through its branches. 
remoraid,1,The water they shoot from their mouths can hit moving prey from more than 300 feet away.
remoraid,2,"Using its dorsal fin as a suction pad, it clings to a Mantine’s underside to scavenge for leftovers."
octillery,1,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.
octillery,2,"It traps enemies with its suction-cupped tentacles, then smashes them with its rock-hard head."
delibird,1,It carries food all day long. There are tales about lost people who were saved by the food it had.
delibird,2,"It has a generous habit of sharing its food with people and Pokémon, so it’s always scrounging around for more food."
mantine,1,"If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet."
mantine,2,"As it majestically swims, it doesn’t care if Remoraid attach to it to scavenge for its leftovers."
skarmory,1,The pointed feathers of these Pokémon are sharper than swords. Skarmory and Corviknight fight viciously over territory.
skarmory,2,"People fashion swords from Skarmory’s shed feathers, so this Pokémon is a popular element in heraldic designs."
houndour,1,"It cooperates with others skillfully. When it becomes your partner, it’s very loyal to you as its Trainer and will obey your orders."
houndour,2,They make repeated eerie howls before dawn to call attention to their pack.
houndoom,1,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.
houndoom,2,"Identifiable by its eerie howls, people a long time ago thought it was the grim reaper and feared it."
houndoom-mega,1,Its red claws and the tips of its tail are melting from high internal temperatures that are painful to Houndoom itself. 
houndoom-mega,2,Houndoom's entire body generates heat when it Mega Evolves. Its fearsome fiery breath turns its opponents to ash. 
kingdra,1,"With the arrival of a storm at sea, this Pokémon will show itself on the surface. When a Kingdra and a Dragonite meet, a fierce battle ensues."
kingdra,2,Scales shed by this Pokémon have such a splendorous gleam to them that they’ve been given to royalty as gifts.
phanpy,1,"As a sign of affection, it bumps with its snout. However, it is so strong, it may send you flying."
phanpy,2,It is strong despite its compact size. It can easily pick up and carry an adult human on its back.
donphan,1,"It has sharp, hard tusks and a rugged hide. Its Tackle is strong enough to knock down a house."
donphan,2,"The longer and bigger its tusks, the higher its rank in its herd. The tusks take long to grow."
porygon2,1,This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own.
porygon2,2,"After artificial intelligence was implemented in Porygon2, the Pokémon began using a strange language that only other Porygon2 understand."
stantler,1,Staring at its antlers creates an odd sensation as if one were being drawn into their centers.
stantler,2,The curved antlers subtly change the flow of air to create a strange space where reality is distorted.
smeargle,1,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.
smeargle,2,"It draws symbols with the fluid that oozes from the tip of its tail. Depending on the symbol, Smeargle fanatics will pay big money for them."
tyrogue,1,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses."
tyrogue,2,"Even though it is small, it can’t be ignored because it will slug any handy target without warning."
hitmontop,1,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground."
hitmontop,2,"After doing a handstand to throw off the opponent’s timing, it presents its fancy kick moves."
smoochum,1,"If its face gets even slightly dirty, Smoochum will bathe immediately. But if its body gets dirty, Smoochum doesn’t really seem to care."
smoochum,2,This is a very curious Pokémon. Smoochum decides what it likes and dislikes by touching things with its lips.
elekid,1,"When a storm approaches, this Pokémon gets restless. Once Elekid hears the sound of thunder, it gets full-on rowdy."
elekid,2,"It’s not good at storing electricity yet. This Pokémon sneaks into people’s homes, looking for electrical outlets to eat electricity from."
magby,1,"This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose."
magby,2,"This Pokémon makes its home near volcanoes. At the end of the day, Magby soaks in magma, resting and recovering from the day’s fatigue."
miltank,1,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times."
miltank,2,"This Pokémon needs to be milked every day, or else it will fall ill. The flavor of Miltank milk changes with the seasons."
blissey,1,"Whenever a Blissey finds a weakened Pokémon, it will share its egg and offer its care until the other Pokémon is all better."
blissey,2,Blissey lays mysterious eggs that are filled with happiness. It’s said that anyone who eats a Blissey egg will start acting kindly to all others.
raikou,1,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.
raikou,2,"This rough Pokémon stores energy inside its body, then sweeps across the land, shooting off electricity."
entei,1,A Pokémon that races across the land. It is said that one is born every time a new volcano appears.
entei,2,"It is said that when it roars, a volcano erupts somewhere around the globe."
suicune,1,It races around the world to purify fouled water. It dashes away with the north wind.
suicune,2,"Said to be the embodiment of north winds, it can instantly purify filthy, murky water."
larvitar,1,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil."
larvitar,2,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow."
pupitar,1,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power."
pupitar,2,"It will not stay still, even while it’s a pupa. It already has arms and legs under its solid shell."
tyranitar,1,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies."
tyranitar,2,The quakes caused when it walks make even great mountains crumble and change the surrounding terrain.
tyranitar-mega,1,"Due to the colossal power poured into it, this Pokémon's back split right open. Its destructive instincts are the only thing keeping it moving. "
tyranitar-mega,2,The effects of Mega Evolution make it more ferocious than ever. It's unclear whether it can even hear its Trainer's orders. 
lugia,1,"It sleeps in a deep-sea trench. If it flaps its wings, it is said to cause a 40-day storm."
lugia,2,It is said to be the guardian of the seas. It is rumored to have been seen on the night of a storm.
ho-oh,1,A legend says that its body glows in seven colors. A rainbow is said to form behind it when it flies.
ho-oh,2,"It will reveal itself before a pure-hearted Trainer by shining its bright, rainbow-colored wings."
celebi,1,This Pokémon has the ability to move through time. Records describing it as a forest deity can be found from many different eras.
celebi,2,"This Pokémon traveled through time to come from the future. It bolsters grass and trees with its own strength, and it can heal wounds, too."
treecko,1,It quickly scales even vertical walls. It senses humidity with its tail to predict the next day’s weather.
treecko,2,Small hooks on the bottom of its feet catch on walls and ceilings. That is how it can hang from above.
grovyle,1,Its strongly developed thigh muscles give it astounding agility and jumping performance.
grovyle,2,"It lives in dense jungles. While closing in on its prey, it leaps from branch to branch."
sceptile,1,The leaves that grow on its arms can slice down thick trees. It is without peer in jungle combat.
sceptile,2,It agilely leaps about the jungle and uses the sharp leaves on its arms to strike its prey.
sceptile-mega,1,The leaves that grow on its arms can slice down thick trees. It is without peer in jungle combat.
sceptile-mega,2,It agilely leaps about the jungle and uses the sharp leaves on its arms to strike its prey.
torchic,1,It has a flame sac inside its belly that perpetually burns. It feels warm if it is hugged.
torchic,2,"A fire burns inside, so it feels very warm to hug. It launches fireballs of 1,800 degrees Fahrenheit."
combusken,1,Its kicking mastery lets it loose 10 kicks per second. It emits sharp cries to intimidate foes.
combusken,2,"During a battle, the hot flame in its body increases. Its kicks have outstanding destructive power."
blaziken,1,It can clear a 30-story building in a leap. Its fiery punches scorch its foes.
blaziken,2,"When facing a tough foe, it looses flames from its wrists. Its powerful legs let it jump clear over buildings."
blaziken-mega,1,It can clear a 30-story building in a leap. Its fiery punches scorch its foes.
blaziken-mega,2,"When facing a tough foe, it looses flames from its wrists. Its powerful legs let it jump clear over buildings."
mudkip,1,Its large tail fin propels it through water with powerful acceleration. It is strong in spite of its size.
mudkip,2,"To alert it, the fin on its head senses the flow of water. It has the strength to heft boulders."
marshtomp,1,"Its sturdy legs give it sure footing, even in mud. It burrows into dirt to sleep."
marshtomp,2,Living on muddy ground that provides poor footing has made its legs sturdy.
swampert,1,"Its arms are hard as rock. With one swing, it can break a boulder into pieces."
swampert,2,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.
swampert-mega,1,"Its arms are hard as rock. With one swing, it can break a boulder into pieces."
swampert-mega,2,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.
poochyena,1,"A Pokémon with a persistent nature, it chases its chosen prey until the prey becomes exhausted."
poochyena,2,It has a very tenacious nature. Its acute sense of smell lets it chase a chosen prey without ever losing track.
mightyena,1,It will always obey the commands of a skilled Trainer. Its behavior arises from its living in packs in ancient times.
mightyena,2,It chases down prey in a pack of around ten. They defeat foes with perfectly coordinated teamwork.
zigzagoon,1,It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.
zigzagoon,2,"Zigzagoon that adapted to regions outside Galar acquired this appearance. If you’ve lost something, this Pokémon can likely find it."
zigzagoon-galar,1,"Its restlessness has it constantly running around. If it sees another Pokémon, it will purposely run into them in order to start a fight. "
zigzagoon-galar,2,"Thought to be the oldest form of Zigzagoon, it moves in zigzags and wreaks havoc upon its surroundings. "
linoone,1,Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.
linoone,2,It uses its explosive speed and razor-sharp claws to bring down prey. Running along winding paths is not its strong suit.
linoone-galar,1,"It uses its long tongue to taunt opponents. Once the opposition is enraged, this Pokémon hurls itself at the opponent, tackling them forcefully. "
linoone-galar,2,This very aggressive Pokémon will recklessly challenge opponents stronger than itself. 
wurmple,1,"It loves to eat leaves. If it is attacked by a Starly, it will defend itself with its spiked rear."
wurmple,2,It lives among the tall grass and in forests. It repels attacks by raising up the spikes on its rear.
silcoon,1,It wraps silk around the branches of a tree. It drinks rainwater on its silk while awaiting evolution.
silcoon,2,It drinks dew that collects on its silk and waits for evolution. Its hard cocoon repels attacks.
beautifly,1,Vibrantly patterned wings are its prominent feature. It sucks sweet flower nectar with its long mouth.
beautifly,2,"It has an aggressive nature. It stabs prey with its long, narrow mouth to drain the prey’s fluids."
cascoon,1,"Its body, which is made of soft silk, hardens over time. When cracks appear, evolution is near."
cascoon,2,"It never forgets any attack it endured while in the cocoon. After evolution, it seeks payback."
dustox,1,"A nocturnal Pokémon. Drawn by streetlights, they messily eat the leaves of trees lining boulevards."
dustox,2,It violently flutters its wings to scatter toxic dust when attacked. It becomes active after sunset.
lotad,1,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
lotad,2,Its leaf grew too large for it to live on land. That is how it began to live floating in the water.
lombre,1,It is nocturnal and becomes active at nightfall. It feeds on aquatic mosses that grow in the riverbed.
lombre,2,It lives at the water’s edge where it is sunny. It sleeps on a bed of water grass by day and becomes active at night.
ludicolo,1,"The rhythm of bright, festive music activates Ludicolo’s cells, making it more powerful."
ludicolo,2,"If it hears festive music, it begins moving in rhythm in order to amplify its power."
seedot,1,"If it remains still, it looks just like a real nut. It delights in surprising foraging Pokémon."
seedot,2,It attaches itself to a tree branch using the top of its head. Strong winds can sometimes make it fall.
nuzleaf,1,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy."
nuzleaf,2,They live in holes bored in large trees. The sound of Nuzleaf’s grass flute fills listeners with dread.
shiftry,1,A Pokémon that was feared as a forest guardian. It can read the foe’s mind and take preemptive action.
shiftry,2,It lives quietly in the deep forest. It is said to create chilly winter winds with the fans it holds.
taillow,1,It has a gutsy spirit that makes it bravely take on tough foes. It flies in search of warm climates.
taillow,2,"It dislikes cold seasons. They migrate to other lands in search of warmth, flying over 180 miles a day."
swellow,1,"If its two tail feathers are standing at attention, it is proof of good health. It soars elegantly in the sky."
swellow,2,It dives at a steep angle as soon as it spots its prey. It catches its prey with sharp claws.
wingull,1,"It makes its nest on sheer cliffs. Riding the sea breeze, it glides up into the expansive skies."
wingull,2,It soars on updrafts without flapping its wings. It makes a nest on sheer cliffs at the sea’s edge.
pelipper,1,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
pelipper,2,"Skimming the water’s surface, it dips its large bill in the sea, scoops up food and water, and carries it."
ralts,1,It is highly attuned to the emotions of people and Pokémon. It hides if it senses hostility.
ralts,2,"If its horns capture the warm feelings of people or Pokémon, its body warms up slightly."
kirlia,1,"If its Trainer becomes happy, it overflows with energy, dancing joyously while spinning about."
kirlia,2,It has a psychic power that enables it to distort the space around it and see into the future.
gardevoir,1,It has the power to predict the future. Its power peaks when it is protecting its Trainer.
gardevoir,2,"To protect its Trainer, it will expend all its psychic power to create a small black hole."
gardevoir-mega,1,It has the power to predict the future. Its power peaks when it is protecting its Trainer.
gardevoir-mega,2,"To protect its Trainer, it will expend all its psychic power to create a small black hole."
surskit,1,"If it’s in a pinch, it will secrete a sweet liquid from the tip of its head. Syrup made from gathering that liquid is tasty on bread."
surskit,2,"It lives in ponds and marshes that feature lots of plant life. It often fights with Dewpider, whose habitat and diet are similar."
masquerain,1,"Masquerain intimidates enemies with the eyelike patterns of its eyespots. If that doesn’t work, it deftly makes its escape on its set of four wings."
masquerain,2,"Its thin, winglike antennae are highly absorbent. It waits out rainy days in tree hollows."
shroomish,1,It prefers damp places. By day it remains still in the forest shade. It releases toxic powder from its head.
shroomish,2,It spouts poison spores from the top of its head. These spores cause pain all over if inhaled.
breloom,1,Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers.
breloom,2,It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.
slakoth,1,The way Slakoth lolls around makes anyone who watches it feel like doing the same.
slakoth,2,"If it eats just three leaves in a day, it is satisfied. Other than that, it sleeps for 20 hours a day."
vigoroth,1,Its heartbeat is fast and its blood so agitated that it can’t sit still for one second.
vigoroth,2,Its stress level rises if it cannot keep moving constantly. Too much stress makes it feel sick.
slaking,1,The world’s laziest Pokémon. It moves to another spot when there’s no food left within its reach.
slaking,2,"It is the world’s most slothful Pokémon. However, it can exert horrifying power by releasing pent-up energy all at once."
nincada,1,"Because it lived almost entirely underground, it is nearly blind. It uses its antennae instead."
nincada,2,It can sometimes live underground for more than 10 years. It absorbs nutrients from the roots of trees.
ninjask,1,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.
ninjask,2,"This Pokémon is so quick, it is said to be able to avoid any attack. It loves to feed on tree sap."
shedinja,1,A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.
shedinja,2,"A strange Pokémon—it flies without moving its wings, has a hollow shell for a body, and does not breathe."
whismur,1,"The cry of a Whismur is over 100 decibels. If you’re close to a Whismur when it lets out a cry, you’ll be stuck with an all-day headache."
whismur,2,"When Whismur cries, the sound of its own voice startles it, making the Pokémon cry even louder. It cries until it’s exhausted, then it falls asleep."
loudred,1,"Loudred’s ears serve as speakers, and they can put out sound waves powerful enough to blow away a house."
loudred,2,The force of this Pokémon’s loud voice isn’t just the sound—it’s also the wave of air pressure that blows opponents away and damages them.
exploud,1,"In the past, people would use the loud voices of these Pokémon as a means of communication between distant cities."
exploud,2,"This Pokémon can do more than just shout. To communicate with others of its kind, it’ll emit all sorts of sounds from the holes in its body."
makuhita,1,It practices its slaps by repeatedly slapping tree trunks. It has been known to slap an Exeggutor and get flung away.
makuhita,2,There’s a rumor of a traditional recipe for stew that Trainers can use to raise strong Makuhita.
hariyama,1,"Although they enjoy comparing their strength, they’re also kind. They value etiquette, praising opponents they battle."
hariyama,2,Hariyama that are big and fat aren’t necessarily strong. There are some small ones that move nimbly and use moves skillfully.
azurill,1,"The ball on Azurill’s tail bounces like a rubber ball, and it’s full of the nutrients the Pokémon needs to grow."
azurill,2,"Although Azurill are normally docile, an angry one will swing around the big ball on its tail and try to smash its opponents."
nosepass,1,"It moves less than an inch a year, but when it’s in a jam, it will spin and drill down into the ground in a split second."
nosepass,2,It hunts without twitching a muscle by pulling in its prey with powerful magnetism. But sometimes it pulls natural enemies in close.
skitty,1,"It can’t stop itself from chasing moving things, and it runs in a circle, chasing its own tail."
skitty,2,It shows its cute side by chasing its own tail until it gets dizzy.
delcatty,1,It dislikes dirty places. It often searches for a comfortable place in which to groom itself.
delcatty,2,It is highly popular among female Trainers for its sublime fur. It does not keep a nest.
sableye,1,"This Pokémon is feared. When its gemstone eyes begin to glow with a sinister shine, it’s believed that Sableye will steal people’s spirits away."
sableye,2,"It feeds on gemstone crystals. In darkness, its eyes sparkle with the glitter of jewels."
sableye-mega,1,"Bathed in the energy of Mega Evolution, the gemstone on its chest expands, rips through its skin, and falls out. "
sableye-mega,2,"It blocks any and all attacks with its giant-sized gemstone. However, the stone's a heavy burden, and it limits Mega Sableye's movements. "
mawile,1,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws."
mawile,2,It chomps with its gaping mouth. Its huge jaws are actually steel horns that have been transformed.
mawile-mega,1,It has an extremely vicious disposition. It grips prey in its two sets of jaws and tears them apart with raw power. 
mawile-mega,2,Its two sets of jaws thrash about violently as if they each had a will of their own. One gnash from them can turn a boulder to dust. 
aron,1,It eats iron ore—and sometimes railroad tracks— to build up the steel armor that protects its body.
aron,2,"When Aron evolves, its steel armor peels off. In ancient times, people would collect Aron’s shed armor and make good use of it in their daily lives."
lairon,1,"Lairon live in mountains brimming with spring water and iron ore, so these Pokémon often came into conflict with humans in the past."
lairon,2,"During territorial disputes, Lairon fight by slamming into each other. Close inspection of their steel armor reveals scratches and dents."
aggron,1,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.
aggron,2,"Long ago, there was a king who wore a helmet meant to resemble the head of an Aggron. He was trying to channel the Pokémon’s strength."
aggron-mega,1,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.
aggron-mega,2,"Long ago, there was a king who wore a helmet meant to resemble the head of an Aggron. He was trying to channel the Pokémon’s strength."
meditite,1,It always trains deep in mountains. It levitates when it heightens its spiritual power through meditation.
meditite,2,"It eats just one berry a day. By enduring hunger, its spirit is tempered and made sharper."
medicham,1,"It elegantly avoids attacks with dance-like steps, then launches a devastating blow in the same motion."
medicham,2,"Through yoga training, it gained the psychic power to predict its foe’s next move."
medicham-mega,1,"It elegantly avoids attacks with dance-like steps, then launches a devastating blow in the same motion."
medicham-mega,2,"Through yoga training, it gained the psychic power to predict its foe’s next move."
electrike,1,It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.
electrike,2,It stores electricity in its fur. It gives off sparks from all over its body in seasons when the air is dry.
manectric,1,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well."
manectric,2,It rarely appears before people. It is said to nest where lightning has fallen.
manectric-mega,1,"Mega Evolution fills its body with a tremendous amount of electricity, but it's too much for Manectric to fully control. "
manectric-mega,2,"Too much electricity has built up in its body, irritating Manectric. Its explosive speed is equal to that of a lightning bolt. "
plusle,1,It cheers on friends with pom-poms made of sparks. It drains power from telephone poles.
plusle,2,It absorbs electricity from telephone poles. It shorts out its body to create crackling noises.
minun,1,Exposure to electricity from Minun and Plusle promotes blood circulation and relaxes muscles.
minun,2,"It cheers on friends. If its friends are losing, its body lets off more and more sparks."
volbeat,1,It communicates with others by lighting up its rear at night. It loves Illumise’s sweet aroma.
volbeat,2,"It lives around clean ponds. At night, its rear lights up. It converses with others by flashing its light."
illumise,1,"Its fragrance attracts a swarm of Volbeat, so they draw over 200 patterns in the night sky."
illumise,2,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
roselia,1,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is."
roselia,2,"It uses the different poisons in each hand separately when it attacks. The stronger its aroma, the healthier it is."
gulpin,1,"It has a small heart and brain. Its stomach comprises most of its body, with enzymes to dissolve anything."
gulpin,2,"There is nothing its stomach can’t digest. While it is digesting, vile, overpowering gases are expelled."
swalot,1,It swallows anything whole. It sweats toxic fluids from its follicles to douse foes.
swalot,2,It gulps anything that fits in its mouth. Its special enzymes can dissolve anything.
carvanha,1,"It won’t attack while it’s alone—not even if it spots prey. Instead, it waits for other Carvanha to join it, and then the Pokémon attack as a group."
carvanha,2,These Pokémon have sharp fangs and powerful jaws. Sailors avoid Carvanha dens at all costs.
sharpedo,1,"As soon as it catches the scent of prey, Sharpedo will jet seawater from its backside, hurtling toward the target to attack at 75 mph."
sharpedo,2,This Pokémon is known as the Bully of the Sea. Any ship entering the waters Sharpedo calls home will be attacked—no exceptions.
sharpedo-mega,1,"The yellow patterns it bears are old scars. The energy from Mega Evolution runs through them, causing it sharp pain and suffering. "
sharpedo-mega,2,"The moment it charges into its opponent, sharp spikes pop out of Sharpedo's head, leaving its opponent with deep wounds. "
wailmer,1,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.
wailmer,2,"When it sucks in a large volume of seawater, it becomes like a big, bouncy ball. It eats a ton of food daily."
wailord,1,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.
wailord,2,Its immense size is the reason for its popularity. Wailord watching is a favorite sightseeing activity in various parts of the world.
numel,1,"Its humped back stores intensely hot magma. In rain, the magma cools, slowing its movement."
numel,2,"The magma in its body reaches 2,200 degrees Fahrenheit. Its hump gets smaller when it uses Fire-type moves."
camerupt,1,The volcanoes on its back have a major eruption every 10 years--or whenever it becomes really angry.
camerupt,2,"If angered, the humps on its back erupt in a shower of molten lava. It lives in the craters of volcanoes."
camerupt-mega,1,The volcanoes on its back have a major eruption every 10 years--or whenever it becomes really angry.
camerupt-mega,2,"If angered, the humps on its back erupt in a shower of molten lava. It lives in the craters of volcanoes."
torkoal,1,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
torkoal,2,You find abandoned coal mines full of them. They dig tirelessly in search of coal.
spoink,1,"It bounces constantly, using its tail like a spring. The shock of bouncing keeps its heart beating."
spoink,2,It bounces around on its tail to keep its heart pumping. It carries a pearl from Clamperl on its head.
grumpig,1,It uses black pearls to amplify its psychic power. It does a strange dance to control foes’ minds.
grumpig,2,It uses black pearls to amplify its psychic power. It does an odd dance to gain control over foes.
spinda,1,Its steps are shaky and stumbling. Walking for a long time makes it feel sick.
spinda,2,"Each Spinda’s spot pattern is different. With its stumbling movements, it evades opponents’ attacks brilliantly!"
trapinch,1,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape."
trapinch,2,It makes an inescapable conical pit and lies in wait at the bottom for prey to come tumbling down.
